time,lasttime,lat,lng,speed,course,altitude,comment,unix_time,unix_lasttime
4/13/2014 17:19,4/13/2014 17:29,40.41625,-86.9449,0,36,185,MT-RTG,1397409576,1397410176
4/13/2014 17:47,4/13/2014 17:47,40.41767,-86.94291,30,36,262,MT-RTG,1397411255,1397411255
4/13/2014 17:49,4/13/2014 17:49,40.42805,-86.93522,44,33,668,MT-RTG,1397411375,1397411375
4/13/2014 17:51,4/13/2014 17:51,40.43901,-86.92733,33,34,1042,MT-RTG,1397411495,1397411495
4/13/2014 17:53,4/13/2014 17:53,40.45029,-86.91554,48,56,1434,MT-RTG,1397411615,1397411615
4/13/2014 17:55,4/13/2014 17:55,40.45727,-86.90519,31,53,1934,MT-RTG,1397411735,1397411735
4/13/2014 17:57,4/13/2014 17:57,40.46452,-86.89047,67,60,2388,MT-RTG,1397411855,1397411855
4/13/2014 17:59,4/13/2014 17:59,40.47588,-86.87003,69,56,2818,MT-RTG,1397411976,1397411976
4/13/2014 18:01,4/13/2014 18:01,40.49115,-86.84476,104,60,3261,MT-RTG,1397412095,1397412095
4/13/2014 18:03,4/13/2014 18:03,40.51184,-86.81428,96,46,3699,MT-RTG,1397412215,1397412215
4/13/2014 18:05,4/13/2014 18:05,40.53695,-86.7856,124,44,4122,MT-RTG,1397412335,1397412335
4/13/2014 18:07,4/13/2014 18:07,40.56422,-86.75436,141,45,4470,MT-RTG,1397412455,1397412455
4/13/2014 18:11,4/13/2014 18:11,40.61214,-86.69941,109,47,5355,MT-RTG,1397412695,1397412695
4/13/2014 18:13,4/13/2014 18:13,40.63466,-86.66555,124,52,5863,MT-RTG,1397412816,1397412816
4/13/2014 18:15,4/13/2014 18:15,40.65583,-86.63573,96,47,6240,MT-RTG,1397412936,1397412936
4/13/2014 18:17,4/13/2014 18:17,40.67434,-86.60705,93,60,6684,MT-RTG,1397413056,1397413056
4/13/2014 18:19,4/13/2014 18:19,40.68915,-86.57754,89,59,7161,MT-RTG,1397413176,1397413176
4/13/2014 18:21,4/13/2014 18:21,40.70212,-86.54942,70,67,7680,MT-RTG,1397413296,1397413296
4/13/2014 18:23,4/13/2014 18:23,40.71036,-86.52292,67,69,8156,\'|3SR,1397413420,1397413420
4/13/2014 18:25,4/13/2014 18:25,40.7165,-86.49384,81,78,8580,\'|3SR,1397413536,1397413536
4/13/2014 18:27,4/13/2014 18:27,40.72468,-86.46058,69,60,9027,MT-RTG,1397413656,1397413656
4/13/2014 18:29,4/13/2014 18:29,40.7361,-86.43227,93,68,9513,MT-RTG,1397413776,1397413776
4/13/2014 18:31,4/13/2014 18:31,40.74774,-86.39788,122,68,10064,MT-RTG,1397413895,1397413895
4/13/2014 18:33,4/13/2014 18:33,40.76007,-86.35486,115,77,10650,\'|3ÊB,1397414021,1397414021
4/13/2014 18:35,4/13/2014 18:35,40.76918,-86.30955,113,78,11134,\'MT-RTG|3ÿ,1397414138,1397414138
4/13/2014 18:37,4/13/2014 18:38,40.77564,-86.2612,124,80,11600,\'|3ã^,1397414258,1397414310
4/13/2014 18:41,4/13/2014 18:41,40.77729,-86.15172,126,90,12346,\'|3ã^,1397414494,1397414494
4/13/2014 18:44,4/13/2014 18:44,40.77754,-86.10527,106,87,12483,MT-RTG,1397414646,1397414646
4/13/2014 18:45,4/13/2014 18:45,40.78035,-86.06587,100,83,12531,MT-RTG,1397414734,1397414734
4/13/2014 18:47,4/13/2014 18:47,40.78262,-86.02698,91,86,12556,MT-RTG,1397414853,1397414853
4/13/2014 18:49,4/13/2014 18:49,40.78438,-85.98874,104,87,12483,MT-RTG,1397414973,1397414973
4/13/2014 18:51,4/13/2014 18:51,40.78627,-85.94572,111,86,12410,MT-RTG,1397415093,1397415093
4/13/2014 18:53,4/13/2014 18:53,40.78682,-85.90042,120,90,12374,MT-RTG,1397415212,1397415212
4/13/2014 18:55,4/13/2014 18:55,40.78685,-85.85223,124,89,12320,\'|3o\\08132.,1397415333,1397415333
