Time 	Thrust N	x-Thrust N	y-Thrust N	Acceleration Feet/sec/sec	x-Acceleration Feet/sec/sec	y-Acceleration Feet/sec/sec	Acceleration Total Feet/sec/sec	x-Acceleration Total Feet/sec/sec	y-Acceleration Total Feet/sec/sec	Velocity Feet / Sec	x-Velocity Feet / Sec	y-Velocity Feet / Sec	Mach number 	Altitude Feet	Range Feet	Cd 	Drag force N	x-Drag force N	y-Drag force N	Longitudinal moment of inertia Ounces-Inches^2	Radial moment of inertia Ounces-Inches^2	Flight angle Deg.	Gamma - Velocity tangent angle Deg.	Wind angle of attack Deg.	CG Inches	Mass Ounces	CP Inches	CNa - normal force coefficient 	Static stability margin Calibers	Angular acceleration Rad/s/s	Torque N-m	Pitch rate rad/s	Pitch force N	x-Wind velocity Miles / Hour	Cross wind drag N	Cross wind lift N	X Wind induced acceleration Feet/sec/sec	Y Wind induced lift Feet/sec/sec	X Wind drift velocity Feet / Sec	Y Wind drift velocity Feet / Sec	Thermal rise velocity Miles / Hour	Gravity Feet/sec/sec	Pressure KPa	Temperature Degrees Fahrenheit	Density kg/m^3	Viscosity ?	Kinematic viscosity ?	Sound velocity Feet / Sec	Corrective moment coefficient 	Damping moment coefficient 	Nat. Freq. at zero roll rate rad/s	Damping Ratio 	Prec. Freq. rad/s	Nat. Coupled Frequency rad/s	Coupled Damping Ratio 	Booster 2 Velocity Feet / Sec	Booster 2 x-Velocity Feet / Sec	Booster 2 y-Velocity Feet / Sec	Booster 2 range Feet	Booster 2 altitude Feet	Booster 2 flight angle Deg.	Booster 1 Velocity Feet / Sec	Booster 1 x-Velocity Feet / Sec	Booster 1 y-Velocity Feet / Sec	Booster 1 range Feet	Booster 1 altitude Feet	Booster 1 flight angle 
 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-0.000000	 1.828352	 0.000000	 0.000000	 0.000000	82703.708513	4682.461725	78.873999	 0.000000	 0.000000	55.033000	183.330136	69.190000	21.392636	 6.208976	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.105729	31.872000	4494.866547	-67.424000	 0.071857	 0.000014	 0.002140	970.897000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.055000	1575.590941	304.041784	1545.985587	1002.365000	193.425000	983.526000	971.112000	193.425000	951.654000	51.398000	 9.926000	50.431000	 0.052939	 1.363000	 0.268000	 1.731836	 0.038345	-0.007399	-0.037625	82526.578154	4609.072425	78.873999	78.873897	-0.000102	54.935000	181.906568	69.190000	21.392636	 6.252268	-0.000000	-0.000000	-0.000000	-0.000001	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.106393	31.872000	4494.592019	-67.423000	 0.071852	 0.000014	 0.002140	970.898000	 0.171505	 0.782559	 0.337081	 0.769034	 0.000000	 0.328045	 0.748419	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.110000	1541.261388	297.417210	1512.301086	988.625000	190.774000	970.044000	957.372000	190.774000	938.172000	104.424000	20.490000	102.394000	 0.107553	 5.601000	 1.112000	 1.365304	 0.127878	-0.025087	-0.125393	82338.652602	4531.694559	78.873962	78.686148	-0.187817	54.829000	180.405632	69.217000	21.392636	 6.310426	-0.001575	-0.002400	-0.000037	-0.006568	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.108534	31.872000	4493.710454	-67.421000	 0.071838	 0.000014	 0.002141	970.901000	 0.732247	 0.799815	 0.697301	 0.380822	 0.000000	 0.678870	 0.370756	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.165000	1535.700000	296.344029	1506.828840	993.072000	191.633000	974.407000	961.819000	191.633000	942.535000	157.122000	30.991000	154.036000	 0.161831	12.684000	 2.534000	 1.199161	 0.256161	-0.050523	-0.251130	82153.086169	4455.773693	78.873621	78.625295	-0.248340	54.723000	178.932958	69.226000	21.392636	 6.360607	-0.004747	-0.007296	-0.000205	-0.019807	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.112109	31.872000	4492.228508	-67.417000	 0.071813	 0.000014	 0.002141	970.906000	 1.683323	 0.817102	 1.058437	 0.256888	 0.000000	 1.030851	 0.250193	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.220000	1535.700000	296.374743	1506.828840	1001.179000	193.216000	982.358000	969.926000	193.216000	950.486000	210.250000	41.575000	206.098000	 0.216549	22.618000	 4.535000	 1.097719	 0.421273	-0.083298	-0.412957	81967.032842	4380.134491	78.872417	78.595555	-0.276905	54.617000	177.465748	69.230000	21.392636	 6.409306	-0.009500	-0.014727	-0.000593	-0.039678	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.117031	31.872000	4490.145329	-67.412000	 0.071779	 0.000014	 0.002142	970.912000	 3.047310	 0.834673	 1.425713	 0.195255	 0.000000	 1.389081	 0.190238	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.275000	1535.700000	296.451528	1506.813483	1009.393000	194.851000	990.408000	978.140000	194.851000	958.536000	263.826000	52.248000	258.601000	 0.271728	35.428000	 7.122000	 1.027067	 0.621666	-0.123109	-0.609357	81779.792970	4304.495288	78.869524	78.577987	-0.291629	54.508000	175.998538	69.232000	21.392636	 6.457895	-0.015758	-0.024649	-0.001285	-0.065907	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.123184	31.872000	4487.456722	-67.405000	 0.071735	 0.000014	 0.002144	970.921000	 4.842641	 0.852550	 1.799333	 0.158387	 0.000000	 1.753770	 0.154376	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.330000	1536.403673	296.741005	1507.473192	1018.196000	196.652000	999.025000	986.943000	196.652000	967.153000	317.859000	63.013000	311.550000	 0.327375	51.138000	10.298000	 0.973991	 0.856395	-0.169772	-0.839395	81591.218523	4228.802171	78.863853	78.566098	-0.297924	54.397000	174.530282	69.233000	21.392636	 6.506781	-0.023337	-0.036855	-0.002359	-0.097806	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.130416	31.872000	4484.158683	-67.396000	 0.071681	 0.000014	 0.002145	970.931000	 7.087905	 0.870742	 2.179368	 0.133867	 0.000000	 2.124996	 0.130527	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.385000	1553.423029	300.276671	1524.125470	1038.181000	200.677000	1018.601000	1006.929000	200.677000	986.730000	372.701000	73.941000	365.293000	 0.383854	69.780000	14.070000	 0.932288	 1.127124	-0.223610	-1.104717	81398.284682	4151.858971	78.854090	78.557208	-0.297160	54.283000	173.037777	69.233000	21.392636	 6.556863	-0.031918	-0.050935	-0.003881	-0.134138	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.138532	31.872000	4480.246062	-67.386000	 0.071616	 0.000014	 0.002147	970.944000	 9.820882	 0.889414	 2.568390	 0.116301	 0.000000	 2.505292	 0.113444	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.440000	1570.442384	303.974828	1540.745319	1058.485000	204.875000	1038.468000	1027.235000	204.875000	1006.597000	428.652000	85.096000	420.120000	 0.441473	91.408000	18.449000	 0.900931	 1.440392	-0.285947	-1.411728	81204.081960	4074.915772	78.838700	78.549762	-0.289366	54.167000	171.545273	69.232000	23.824550	 6.607372	-0.045938	-0.073610	-0.005981	-0.192371	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.147307	31.872000	4475.709122	-67.374000	 0.071542	 0.000014	 0.002150	970.958000	14.575081	 0.908575	 3.132636	 0.097640	 0.000000	 3.056876	 0.095279	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.495000	1587.461740	307.904079	1557.315841	1079.109000	209.298000	1058.617000	1047.861000	209.298000	1026.746000	485.728000	96.487000	476.049000	 0.500248	116.082000	23.449000	 0.879268	 1.803976	-0.358342	-1.768023	81008.596853	3997.972572	78.815422	78.542453	-0.273602	54.049000	170.052768	69.229000	24.683997	 6.658273	-0.057449	-0.093251	-0.008833	-0.241836	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.156470	31.871000	4470.537209	-67.361000	 0.071456	 0.000014	 0.002152	970.975000	19.527894	 0.928235	 3.630409	 0.086284	 0.000000	 3.544009	 0.084230	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.550000	1608.448575	312.891501	1577.727208	1103.509000	214.658000	1082.430000	1072.265000	214.658000	1050.559000	544.038000	108.147000	533.181000	 0.560290	143.866000	29.082000	 0.863210	 2.219827	-0.441257	-2.175519	80797.286894	3915.368462	78.782158	78.534283	-0.248756	53.919000	168.450456	69.226000	25.798245	 6.713440	-0.067938	-0.111984	-0.012297	-0.288034	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.165696	31.871000	4464.719522	-67.346000	 0.071361	 0.000014	 0.002155	970.994000	25.793275	 0.948824	 4.177806	 0.076842	 0.000000	 4.080116	 0.075045	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.605000	1629.733205	318.270598	1598.360841	1128.600000	220.397000	1106.871000	1097.360000	220.397000	1075.000000	603.716000	120.113000	591.647000	 0.621738	174.829000	35.365000	 0.850611	 2.690656	-0.535306	-2.636870	80583.368923	3832.339451	78.737131	78.524385	-0.213911	53.787000	166.839902	69.221000	27.274531	 6.769365	-0.075038	-0.126273	-0.016255	-0.322103	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.174609	31.871000	4458.243900	-67.329000	 0.071254	 0.000014	 0.002158	971.015000	33.822143	 0.970046	 4.790394	 0.068696	 0.000000	 4.680393	 0.067119	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.660000	1651.017834	324.061781	1618.905537	1154.137000	226.527000	1131.688000	1122.903000	226.527000	1099.817000	664.787000	132.405000	651.468000	 0.684615	209.046000	42.316000	 0.840289	 3.218683	-0.641033	-3.154213	80367.910130	3749.310441	78.679184	78.511962	-0.168685	53.652000	165.229349	69.214000	29.294567	 6.825764	-0.075120	-0.130590	-0.020428	-0.330362	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.182773	31.871000	4451.097874	-67.310000	 0.071137	 0.000014	 0.002162	971.038000	44.356392	 0.991885	 5.493260	 0.061419	 0.000000	 5.369441	 0.060035	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.715000	1672.302464	330.246291	1639.374828	1180.138000	233.048000	1156.898000	1148.911000	233.048000	1125.027000	727.276000	145.046000	712.665000	 0.748948	246.591000	49.952000	 0.831531	 3.806206	-0.759072	-3.729740	80150.895160	3666.281430	78.608416	78.496375	-0.113780	53.514000	163.618795	69.206000	32.203453	 6.882714	-0.062842	-0.116678	-0.024286	-0.292726	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.189682	31.871000	4443.269142	-67.290000	 0.071008	 0.000014	 0.002166	971.063000	58.755003	 1.014356	 6.330844	 0.054648	 0.000000	 6.190836	 0.053440	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.770000	1693.587093	336.803665	1659.766159	1206.611000	239.955000	1182.511000	1175.394000	239.955000	1150.640000	791.208000	158.056000	775.260000	 0.814762	287.542000	58.294000	 0.823884	 4.455609	-0.890052	-4.365829	79932.309255	3583.252420	78.527134	78.477238	-0.051825	53.373000	162.008241	69.198000	35.654393	 6.940412	-0.028861	-0.070101	-0.026934	-0.174409	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.194759	31.871000	4434.745592	-67.268000	 0.070868	 0.000014	 0.002171	971.090000	77.501088	 1.037476	 7.280918	 0.048733	 0.000000	 7.123011	 0.047676	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.825000	1714.871723	343.557401	1680.111273	1233.568000	247.133000	1208.560000	1202.361000	247.133000	1176.689000	856.610000	171.454000	839.276000	 0.882084	331.975000	67.362000	 0.817057	 5.169348	-1.034645	-5.064772	79712.138351	3500.223409	78.441456	78.454548	 0.011167	53.230000	160.397687	69.191000	35.654393	 7.000512	 0.031824	 0.017824	-0.026884	 0.043965	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.197349	31.871000	4425.515316	-67.243000	 0.070716	 0.000014	 0.002175	971.120000	91.452303	 1.061274	 7.920061	 0.045955	 0.000000	 7.751697	 0.044978	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.880000	1736.156352	350.182736	1700.478339	1260.250000	254.198000	1234.348000	1229.052000	254.198000	1202.477000	923.494000	185.247000	904.723000	 0.950926	379.970000	77.178000	 0.955369	 7.010178	-1.406101	-6.867731	79490.369172	3417.194399	78.361695	78.428913	 0.065558	53.084000	158.787133	69.199000	35.654393	 7.068112	 0.101684	 0.122531	-0.023178	 0.299345	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.196707	31.871000	4415.566647	-67.217000	 0.070552	 0.000014	 0.002180	971.153000	107.088567	 1.085808	 8.582379	 0.043510	 0.000000	 8.403649	 0.042604	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.935000	1757.440982	356.356308	1720.938933	1286.614000	260.899000	1259.884000	1255.423000	260.899000	1228.014000	991.832000	199.419000	971.578000	 1.021257	431.603000	87.763000	 1.187648	10.028647	-2.016259	-9.823862	79266.989350	3334.165388	78.299707	78.401601	 0.100764	52.935000	157.176579	69.204000	35.654393	 7.135825	 0.163163	 0.218808	-0.015767	 0.529482	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.192003	31.870000	4404.888553	-67.189000	 0.070376	 0.000014	 0.002186	971.187000	124.417203	 1.111024	 9.263763	 0.041362	 0.000000	 9.074873	 0.040519	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.990000	1778.725611	361.739428	1741.550246	1312.842000	267.012000	1285.402000	1281.654000	267.012000	1253.532000	1061.617000	213.944000	1039.836000	 1.093071	486.953000	99.138000	 1.445905	13.952659	-2.811740	-13.666490	79041.987541	3251.136377	78.265717	78.374382	 0.108252	52.782000	155.566025	69.206000	35.654393	 7.203144	 0.192295	 0.271166	-0.005767	 0.650046	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	-4.182311	31.870000	4393.470692	-67.159000	 0.070189	 0.000014	 0.002192	971.225000	143.522818	 1.136923	 9.963799	 0.039464	 0.000000	 9.764997	 0.038677	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
