PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
877,1252,23.6,15.6,61,12.87,20,4,308.1,347.3,310.5
868,1343,23.4,15.4,61,12.84,0,6,308.8,348,311.2
863,1393,25.4,12.4,44,10.59,349,8,311.4,344.2,313.4
859,1434,25.4,11.4,42,9.95,340,9,311.8,342.8,313.7
850,1527,24.6,11.6,44,10.19,320,11,311.9,343.6,313.8
821.1,1829,22.1,12.2,53,11,315,13,312.4,346.6,314.4
813,1915,21.4,12.4,56,11.25,309,12,312.5,347.5,314.6
801,2044,21.4,12.4,56,11.42,301,11,313.8,349.5,316
792.7,2134,20.9,11.6,56,10.96,295,10,314.2,348.5,316.2
765.3,2438,19,9,52,9.52,265,13,315.4,345.5,317.2
765,2442,19,9,52,9.5,265,13,315.4,345.4,317.2
738.5,2743,16.2,9.7,65,10.32,270,13,315.6,348.1,317.6
723,2924,14.6,10.1,74,10.85,266,11,315.7,349.9,317.8
704,3149,12.8,7.8,72,9.52,261,9,316.1,346.3,317.9
700,3197,12.4,7.6,73,9.44,260,8,316.2,346.1,318
684,3391,10.8,7.3,79,9.47,268,8,316.5,346.5,318.3
662.3,3658,8.7,4.9,77,8.25,280,7,317.1,343.4,318.7
641,3929,6.6,2.4,75,7.15,276,8,317.6,340.6,319
615,4267,3.9,1,82,6.76,270,9,318.3,340.1,319.6
592,4577,1.4,-0.2,89,6.41,280,11,318.9,339.7,320.1
570.3,4877,-0.3,-1.1,94,6.25,290,12,320.4,340.8,321.6
557,5066,-1.3,-1.6,98,6.15,288,14,321.3,341.5,322.5
531,5446,-3.3,-4.6,91,5.15,285,17,323.4,340.5,324.4
528.3,5486,-3.6,-4.7,92,5.12,285,17,323.4,340.5,324.4
518,5642,-4.9,-5.3,97,5.01,287,17,323.7,340.4,324.7
510,5765,-5.1,-6.4,91,4.67,288,16,324.9,340.6,325.8
500,5920,-6.5,-7.4,93,4.41,290,16,325.1,339.9,325.9
497,5967,-6.9,-7.7,94,4.34,290,16,325.1,339.8,326
488.9,6096,-7.5,-8.9,90,4.02,290,16,325.9,339.6,326.7
484,6174,-7.9,-9.6,88,3.84,285,16,326.4,339.5,327.1
470,6401,-10,-10.7,95,3.64,270,17,326.5,339,327.2
468,6434,-10.3,-10.8,96,3.61,271,17,326.5,338.9,327.2
461,6550,-10.7,-12.6,86,3.17,275,16,327.4,338.4,328.1
451,6719,-11.7,-12.1,97,3.37,280,15,328.2,339.9,328.9
434.1,7010,-13.5,-13.6,99,3.1,290,14,329.6,340.4,330.2
430,7083,-13.9,-14,99,3.03,282,14,329.9,340.6,330.6
420,7262,-14.5,-18,75,2.22,261,12,331.4,339.4,331.9
417.1,7315,-14.8,-17.4,80,2.35,255,12,331.7,340.1,332.2
416,7334,-14.9,-17.2,83,2.4,255,12,331.8,340.4,332.3
404,7555,-16.5,-18.4,85,2.23,259,14,332.5,340.5,333
400.5,7620,-16.7,-19,82,2.14,260,14,333.1,340.8,333.5
400,7630,-16.7,-19.1,82,2.12,260,14,333.2,340.9,333.6
398,7668,-16.9,-19.5,80,2.06,260,14,333.4,340.9,333.8
394,7743,-17.1,-23.1,60,1.52,260,13,334.1,339.7,334.4
392,7782,-17.3,-21.6,69,1.75,260,13,334.3,340.7,334.7
388,7858,-17.7,-22.2,68,1.67,260,12,334.8,341,335.1
384.6,7925,-18.1,-23.8,61,1.46,260,12,335.1,340.6,335.4
381,7994,-18.5,-25.5,54,1.27,263,12,335.5,340.2,335.8
375,8113,-19.5,-26.5,54,1.18,269,11,335.7,340.1,335.9
372,8172,-19.9,-30.9,37,0.79,272,11,335.9,339,336.1
369.1,8230,-20.2,-29,45,0.95,275,11,336.3,339.9,336.5
368,8252,-20.3,-28.3,49,1.02,275,11,336.4,340.3,336.6
359,8435,-21.7,-30.7,44,0.83,278,8,336.9,340.2,337.1
356,8497,-22.3,-29.3,53,0.96,279,7,336.9,340.6,337.1
354.2,8534,-22.6,-30,51,0.9,280,7,337.1,340.5,337.3
352,8580,-22.9,-30.9,48,0.83,281,7,337.2,340.4,337.4
341,8811,-24.9,-27.8,77,1.15,285,9,337.6,341.9,337.8
334,8962,-25.9,-28.2,81,1.13,287,10,338.2,342.5,338.5
325.6,9144,-27.3,-29.6,80,1.01,290,11,338.8,342.7,339
312,9449,-29.6,-32.1,79,0.84,255,16,339.7,343,339.9
300,9730,-31.7,-34.3,78,0.7,260,20,340.6,343.4,340.7
286.1,10058,-34.4,-37.1,76,0.55,265,21,341.4,343.6,341.5
250,10990,-42.1,-45.2,72,0.27,255,29,343.3,344.5,343.4
230,11548,-46.9,-50.1,70,0.17,253,30,344.3,345.1,344.4
223,11752,-48.3,-51.3,71,0.15,252,31,345.2,345.9,345.2
215,11992,-50.3,-56.3,49,0.09,251,31,345.7,346.1,345.8
208.5,12192,-51.8,-58.8,43,0.07,250,32,346.5,346.8,346.5
202,12396,-53.3,-61.3,37,0.05,261,32,347.2,347.4,347.2
200,12460,-53.9,-62.9,32,0.04,265,32,347.2,347.4,347.3
190,12788,-55.7,-63.7,36,0.04,289,37,349.5,349.7,349.5
189.6,12802,-55.8,-64,35,0.04,290,37,349.5,349.7,349.5
180,13131,-58.5,-70.5,20,0.02,294,34,350.4,350.4,350.4
172,13416,-60.9,-72.9,19,0.01,298,32,351,351,351
162,13787,-62.7,-73.7,21,0.01,303,29,354,354.1,354
156,14020,-63.1,-75.1,18,0.01,307,27,357.2,357.2,357.2
151,14219,-64.7,-77.7,15,0.01,309,25,357.8,357.8,357.8
150,14260,-64.9,-77.9,15,0.01,310,25,358.1,358.1,358.1
146,14424,-65.1,-78.1,15,0.01,315,23,360.5,360.6,360.5
139,14721,-67.5,-81.5,12,0,324,19,361.4,361.4,361.4
129,15168,-68.9,-81.9,14,0,338,14,366.7,366.7,366.7
127.4,15240,-69.5,-82.2,14,0,340,13,366.9,366.9,366.9
122,15499,-71.5,-83.5,15,0,322,17,367.8,367.8,367.8
120,15596,-71.7,-83.7,15,0,315,18,369.2,369.2,369.2
119,15645,-70.7,-82.7,16,0,321,18,371.9,371.9,371.9
112,16003,-71.5,-82.5,18,0,4,14,376.9,376.9,376.9
110,16110,-70.5,-82.5,16,0,17,13,380.8,380.8,380.8
100,16670,-73.1,-84.1,18,0,85,7,386.2,386.3,386.2
92.2,17146,-72.9,-84.9,15,0,81,11,395.7,395.7,395.7
87.7,17441,-71.1,-84.1,13,0,78,13,405,405,405
85.4,17599,-68.3,-83.3,10,0,76,14,413.8,413.8,413.8
77.2,18205,-67.9,-87.9,4,0,71,18,426.7,426.7,426.7
76.2,18288,-66.7,-87.2,4,0,70,19,430.8,430.8,430.8
74.9,18388,-65.3,-86.3,4,0,68,18,435.8,435.9,435.8
70,18800,-65.3,-88.3,3,0,60,12,444.4,444.4,444.4
68.9,18898,-65.2,-88.7,3,0,80,17,446.6,446.6,446.6
67.5,19022,-65.1,-89.1,2,0,70,19,449.4,449.4,449.4
65.5,19202,-63.6,-88.8,2,0,55,22,456.5,456.5,456.5
64.4,19310,-62.7,-88.7,2,0,71,23,460.8,460.8,460.8
62.4,19507,-62.9,-88.9,2,0,100,25,464.5,464.5,464.5
61,19644,-63.1,-89.1,2,0,98,26,467.1,467.1,467.1
59.4,19812,-62.2,-88.9,2,0,95,27,472.6,472.6,472.6
56.5,20117,-60.7,-88.5,1,0,110,31,482.9,482.9,482.9
56.2,20152,-60.5,-88.5,1,0,112,30,484,484.1,484
53.8,20422,-60.6,-88.6,1,0,130,18,489.9,489.9,489.9
51.2,20726,-60.7,-88.7,1,0,115,23,496.6,496.6,496.6
50.1,20868,-60.7,-88.7,1,0,120,21,499.7,499.8,499.7
50,20880,-60.7,-88.7,1,0,120,21,500,500,500
47.8,21161,-58.5,-87.5,1,0,86,19,511.7,511.8,511.7
46.5,21336,-58.2,-87.5,1,0,65,17,516.5,516.5,516.5
44.3,21641,-57.7,-87.5,1,0,110,16,525,525,525
43.5,21754,-57.5,-87.5,1,0,97,15,528.1,528.2,528.1
42.2,21946,-57.7,-87.5,1,0,75,14,532.3,532.3,532.3
40.2,22250,-58,-87.6,1,0,90,15,539,539,539
38.3,22555,-58.3,-87.6,1,0,60,25,545.7,545.8,545.7
36.5,22860,-58.6,-87.7,1,0.01,65,38,552.6,552.6,552.6
35.7,22998,-58.7,-87.7,1,0.01,69,37,555.7,555.8,555.7
30.1,24079,-54.4,-86.3,1,0.01,100,33,595.2,595.3,595.2
30,24100,-54.3,-86.3,1,0.01,95,32,596,596.1,596
29.9,24121,-54.1,-86.1,1,0.01,93,32,597.1,597.2,597.1
28.7,24384,-53.5,-85.7,1,0.01,75,38,605.7,605.8,605.7
23.8,25603,-50.9,-83.7,1,0.02,100,29,646.9,647,646.9
22.7,25908,-50.2,-83.2,1,0.02,85,27,657.6,657.8,657.6
22.5,25961,-50.1,-83.1,1,0.02,85,28,659.5,659.7,659.5
20.8,26474,-50.5,-83.5,1,0.02,85,33,673.2,673.4,673.3
20,26730,-49.5,-82.5,1,0.02,85,36,683.9,684.1,683.9
18,27432,-47,-81.5,1,0.03,90,36,712.9,713.2,712.9
17.3,27687,-46.1,-81.1,1,0.03,73,33,723.7,724,723.7
17.2,27737,-46.2,-81.1,1,0.03,70,33,725,725.4,725
16.1,28165,-46.7,-80.7,1,0.04,84,43,736.7,737.1,736.8
15.7,28346,-46,-80.4,1,0.04,90,47,744.7,745.2,744.8
15,28636,-44.9,-79.9,1,0.05,95,43,757.8,758.3,757.8
13.7,29261,-44.6,-80,1,0.05,105,33,779.1,779.7,779.2
12.5,29870,-44.4,-80,1,0.05,90,37,800.6,801.2,800.6
11.4,30480,-44.1,-80.1,1,0.06,90,32,822.7,823.4,822.7
11.4,30475,-44.1,-80.1,1,0.06,90,32,822.4,823.1,822.5
10.9,30785,-42.9,-78.9,1,0.07,75,39,837.6,838.5,837.6
10.3,31159,-41.5,-77.5,1,0.1,78,45,856.2,857.5,856.3
10,31360,-41.7,-77.7,1,0.1,80,48,862.8,864,862.8
9.5,31699,-41.5,-77.7,1,0.1,80,53,876,877.3,876
8.3,32614,-40.9,-77.7,1,0.12,90,53,912.8,914.3,912.8
