PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
853,1516,19,5,40,6.45,330,5,305.7,325.6,306.9
850,1544,19.4,3.4,35,5.78,330,5,306.4,324.4,307.5
844,1605,19.6,3.6,35,5.9,330,5,307.3,325.7,308.4
822.2,1829,18.4,1.8,33,5.32,330,6,308.3,325,309.3
811,1947,17.8,0.8,32,5.03,332,6,308.9,324.8,309.8
804,2021,18,0,30,4.78,333,5,309.9,325.1,310.8
793.4,2134,17.1,0,31,4.85,335,5,310,325.4,310.9
771,2378,15,0,36,4.99,235,3,310.4,326.2,311.3
765.5,2438,15.3,-1.2,32,4.58,210,2,311.4,326,312.2
764,2455,15.4,-1.6,31,4.47,208,2,311.6,326,312.5
741,2713,14.2,-8.8,19,2.67,174,5,313,321.9,313.6
738.4,2743,14,-9.2,19,2.59,170,5,313.1,321.8,313.6
700,3190,11,-15,15,1.71,200,12,314.6,320.5,315
684,3382,9.4,-16.6,14,1.53,200,15,314.9,320.2,315.2
661.4,3658,6.7,-10.3,29,2.66,200,19,314.9,323.8,315.4
659,3688,6.4,-9.6,31,2.81,200,19,314.9,324.3,315.5
645,3864,4.6,-2.4,60,5,198,21,314.8,331,315.8
634,4003,3.6,-3.4,60,4.72,197,22,315.2,330.5,316.1
622,4158,3,-6,52,3.95,196,24,316.3,329.2,317
613.6,4267,2,-6.4,54,3.88,195,25,316.4,329.1,317.1
592,4556,-0.5,-7.5,59,3.69,200,26,316.7,328.9,317.4
590.8,4572,-0.5,-8.7,54,3.37,200,26,316.9,328.1,317.5
590,4583,-0.5,-9.5,51,3.17,201,26,317,327.6,317.6
586,4637,0.2,-18.8,22,1.49,205,24,318.4,323.6,318.7
583,4678,0.2,-20.8,19,1.26,209,23,318.9,323.4,319.2
568.6,4877,-1.1,-25.8,13,0.83,225,18,319.6,322.6,319.8
556,5056,-2.3,-30.3,10,0.56,228,17,320.3,322.4,320.4
547.2,5182,-2.6,-31.1,9,0.53,230,17,321.4,323.4,321.5
538,5316,-2.9,-31.9,9,0.49,229,18,322.6,324.5,322.7
500,5890,-7.7,-31.7,13,0.54,225,24,323.6,325.6,323.7
486.7,6096,-9.4,-32.1,14,0.53,220,26,324,326,324.1
440,6869,-15.7,-33.7,20,0.51,220,25,325.5,327.4,325.6
400,7580,-21.3,-42.3,13,0.23,220,25,327.2,328.1,327.3
397.8,7620,-21.7,-41.6,15,0.25,220,25,327.2,328.2,327.2
396,7654,-22.1,-41.1,16,0.27,219,25,327.1,328.2,327.2
381.5,7925,-23.9,-44.3,13,0.2,215,29,328.3,329.1,328.3
338,8802,-29.7,-54.7,7,0.07,222,35,331.9,332.2,331.9
321.9,9144,-32.6,-55.2,9,0.07,225,37,332.5,332.8,332.5
300,9640,-36.9,-55.9,12,0.07,225,39,333.2,333.5,333.3
294,9779,-38.1,-55.1,15,0.07,227,39,333.5,333.8,333.5
284,10017,-39.5,-53.5,21,0.09,230,39,334.8,335.2,334.8
272,10311,-40.7,-63.7,7,0.03,233,38,337.2,337.3,337.2
250,10880,-45.1,-62.1,13,0.04,240,38,338.9,339.1,338.9
235.4,11278,-48.2,-64.6,13,0.03,240,38,340.1,340.2,340.1
225,11577,-50.5,-66.5,13,0.02,241,43,341,341.1,341
200,12340,-54.7,-71.7,10,0.01,245,55,346,346,346
185.9,12802,-57.3,-74.9,9,0.01,240,56,349,349.1,349
176,13146,-59.3,-77.3,8,0.01,240,51,351.3,351.3,351.3
158,13818,-60.1,-80.1,6,0,240,42,360.9,361,360.9
150,14140,-61.3,-81.3,5,0,240,38,364.3,364.3,364.3
141,14524,-62.5,-83.5,4,0,244,33,368.7,368.7,368.7
