PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
1020,12,22,20.3,90,14.93,230,4,293.5,336.1,296.1
1011,90,24.4,22.4,89,17.2,243,4,296.6,346.4,299.7
1000,186,23.8,21.7,88,16.64,260,5,296.9,345.2,299.9
986.5,305,23,21.2,89,16.34,270,7,297.3,344.8,300.2
979,372,22.6,20.9,90,16.17,277,7,297.6,344.6,300.4
952.7,610,22.4,17.6,74,13.49,300,7,299.7,339.3,302.1
926,859,22.2,14.2,60,11.11,276,4,301.9,335,303.9
925,868,22,15,64,11.72,275,4,301.8,336.6,303.9
920.1,914,21.6,15.3,67,12.03,265,4,301.9,337.6,304.1
900,1106,20.2,16.6,80,13.38,243,4,302.3,342.1,304.7
893,1173,20.2,14.2,68,11.53,235,4,303,337.4,305.1
888.3,1219,19.9,14.2,70,11.59,230,4,303.1,337.7,305.2
864,1458,18,14.2,78,11.92,210,6,303.6,339.2,305.7
857.4,1524,17.7,12.9,73,11,205,7,303.9,337,305.9
850,1598,17.4,11.4,68,10.05,210,8,304.4,334.7,306.2
826.9,1829,15.9,10.2,69,9.56,220,10,305.2,334.2,307
797.4,2134,14.1,8.7,70,8.93,225,11,306.4,333.6,308
769.1,2438,12.1,7.2,72,8.34,225,10,307.5,333.1,309.1
741.6,2743,10.2,5.6,73,7.77,240,10,308.6,332.7,310.1
715.2,3048,8.3,4.1,75,7.23,260,11,309.8,332.3,311.1
700,3228,7.2,3.2,76,6.93,255,11,310.4,332.1,311.7
686,3394,6,3,81,6.97,253,12,310.9,332.7,312.2
676,3514,5.6,-2.4,56,4.77,252,12,311.8,327,312.6
671,3575,5,2,81,6.63,251,13,311.7,332.6,313
667,3624,4.8,0,71,5.77,250,13,312,330.4,313.1
664.2,3658,4.5,0.6,76,6.05,250,13,312.1,331.2,313.2
658,3735,3.8,1.9,87,6.72,247,13,312.1,333.3,313.4
615.9,4267,1,-1.2,85,5.73,225,13,314.9,333.2,315.9
593,4572,-0.6,-2.9,84,5.22,220,13,316.4,333.3,317.4
581,4737,-1.5,-3.9,84,4.96,215,12,317.2,333.4,318.2
579,4765,-1.5,-4.7,79,4.69,214,12,317.6,332.9,318.4
575,4820,-1.5,-12.5,43,2.56,212,11,318.2,326.8,318.7
571,4875,-1.9,-6.8,69,4.04,210,11,318.4,331.7,319.1
570.9,4877,-1.9,-6.9,69,4.01,210,11,318.4,331.6,319.1
562,5002,-2.5,-15.5,36,2.05,206,10,319.1,326.1,319.5
558,5058,-3.1,-8.1,68,3.74,204,9,319,331.5,319.8
549.3,5182,-3.8,-7.9,73,3.85,200,8,319.6,332.5,320.4
543,5274,-4.3,-7.8,77,3.94,203,8,320.1,333.2,320.9
537,5361,-4.3,-12.3,54,2.78,206,8,321.1,330.6,321.7
532,5435,-4.9,-9.8,69,3.43,208,8,321.3,332.8,321.9
528.5,5486,-5.1,-11.4,61,3.04,210,8,321.6,331.9,322.2
517,5659,-5.9,-16.9,42,1.98,193,9,322.7,329.6,323.1
513,5720,-6.7,-11,71,3.24,187,9,322.4,333.4,323.1
508.4,5791,-7.2,-12.1,68,2.99,180,9,322.7,332.9,323.3
500,5920,-8.1,-14.1,62,2.58,185,8,323.1,332,323.6
493,6029,-9.1,-16.1,57,2.22,185,7,323.2,330.9,323.6
488.7,6096,-9.7,-15.3,63,2.39,185,7,323.3,331.6,323.8
478,6267,-11.1,-13.4,83,2.86,183,7,323.6,333.4,324.1
476,6299,-11.3,-14,80,2.74,183,7,323.7,333.1,324.2
470,6397,-10.3,-31.3,16,0.6,181,7,326.1,328.4,326.2
427,7129,-13.9,-62.9,1,0.02,172,6,330.6,330.7,330.6
420,7254,-15.1,-28.1,32,0.91,171,6,330.6,334,330.8
416.6,7315,-15.4,-36.1,15,0.42,170,6,331,332.7,331.1
413,7380,-15.7,-44.7,6,0.17,165,5,331.4,332.2,331.5
402,7583,-17.5,-27.5,41,1,148,3,331.7,335.4,331.9
400,7620,-17.7,-28.7,38,0.9,145,3,331.9,335.3,332.1
394,7733,-18.3,-32.3,28,0.65,114,3,332.6,335.1,332.7
384,7925,-19.9,-32.2,33,0.67,60,2,332.9,335.4,333
371,8181,-22.1,-32.1,40,0.7,81,4,333.3,336,333.4
368.6,8230,-22.3,-34,34,0.59,85,4,333.6,335.9,333.8
358,8444,-23.1,-42.1,16,0.26,166,3,335.3,336.4,335.4
353.6,8534,-23.9,-38.5,25,0.39,200,3,335.5,337.1,335.6
350,8610,-24.5,-35.5,35,0.53,222,4,335.6,337.7,335.7
339.2,8839,-26,-42.1,21,0.28,290,8,336.6,337.7,336.6
333,8972,-26.9,-45.9,15,0.19,292,8,337.1,337.9,337.2
325.2,9144,-28.2,-42.2,25,0.29,295,8,337.6,338.8,337.7
319,9282,-29.3,-39.3,37,0.4,302,10,338,339.6,338.1
301,9696,-32.1,-47.1,21,0.18,324,17,339.7,340.5,339.7
300,9720,-32.3,-47.3,21,0.18,325,17,339.7,340.5,339.8
285.6,10058,-35.2,-48.7,24,0.16,340,24,340.4,341.1,340.4
261.4,10668,-40.5,-51.1,31,0.13,335,24,341.4,342,341.4
256,10811,-41.7,-51.7,33,0.13,335,23,341.6,342.2,341.6
250,10970,-43.1,-55.1,25,0.09,335,22,341.9,342.2,341.9
239,11273,-45.9,-60.9,17,0.04,335,22,342.1,342.3,342.1
220,11822,-50.1,-58.1,38,0.07,335,23,343.8,344.1,343.8
207.8,12192,-53.2,-60.5,41,0.05,335,23,344.5,344.8,344.6
203,12344,-54.5,-61.5,42,0.05,335,21,344.8,345.1,344.8
200,12440,-54.5,-62.5,37,0.04,335,20,346.3,346.5,346.3
186,12901,-56.9,-79.9,4,0,337,13,349.7,349.7,349.7
171.4,13411,-61,-78.1,9,0.01,340,5,351.1,351.1,351.1
163.2,13716,-63.5,-77.1,14,0.01,310,8,351.9,351.9,351.9
162,13761,-63.9,-76.9,15,0.01,310,6,352,352,352
155.2,14021,-64.8,-77.8,15,0.01,340,6,354.8,354.8,354.8
150,14230,-65.5,-78.5,15,0.01,10,3,357.1,357.1,357.1
147.6,14326,-65.8,-78.8,15,0.01,110,4,358.2,358.3,358.2
140.3,14630,-66.6,-79.6,15,0.01,145,13,362,362.1,362
133.4,14935,-67.4,-80.4,14,0,155,6,365.9,365.9,365.9
126.7,15240,-68.2,-81.2,14,0,140,10,369.7,369.8,369.7
120.5,15545,-69,-82,14,0,170,9,373.6,373.7,373.6
114.5,15850,-69.9,-82.9,13,0,100,4,377.6,377.6,377.6
108.8,16154,-70.7,-83.7,13,0,110,6,381.6,381.6,381.6
103.4,16459,-71.5,-84.5,13,0,45,8,385.6,385.6,385.6
101,16601,-71.9,-84.9,13,0,63,9,387.4,387.5,387.4
100,16660,-72.1,-84.1,15,0,70,9,388.2,388.2,388.2
