PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
1005,178,2.2,-1.9,74,3.32,50,6,275,284.2,275.5
1000,218,3.6,-3.4,60,2.99,90,11,276.8,285.2,277.2
983,358,6.8,-10.2,29,1.8,103,13,281.3,286.7,281.6
975,425,9.8,-17.2,13,1.02,109,14,285,288.2,285.2
959,563,11.2,-11.8,19,1.62,121,15,287.8,292.8,288.1
954,606,11.8,-7.2,26,2.34,125,16,288.8,295.9,289.2
953.6,610,11.8,-7,26,2.38,125,16,288.9,296,289.3
940,730,11.8,-1.2,40,3.74,134,10,290,301.1,290.7
925,864,11.4,-3.6,35,3.18,145,4,291,300.5,291.5
924,873,11.2,-3.8,35,3.14,148,4,290.8,300.3,291.4
919.5,914,10.9,-3.1,37,3.33,160,2,290.9,300.9,291.5
898,1110,9.4,0.4,53,4.41,189,4,291.4,304.4,292.1
886.3,1219,10.6,-21.8,8,0.76,205,5,293.7,296.2,293.8
886,1222,10.6,-22.4,8,0.72,205,5,293.7,296.1,293.9
878,1298,10.6,-36.4,2,0.19,197,5,294.5,295.2,294.5
851,1556,8.6,-11.4,23,1.89,171,5,295,301,295.4
850,1566,8.6,-11.4,23,1.89,170,5,295.1,301.1,295.5
823.2,1829,6.6,-12.6,24,1.77,155,3,295.8,301.4,296.1
815,1912,6,-13,24,1.73,178,4,295.9,301.4,296.3
799,2073,4.6,-10.4,33,2.18,223,5,296.1,303,296.5
793.1,2134,4.4,-13.2,26,1.75,240,5,296.6,302.1,296.9
779,2280,4,-20,15,1.01,223,4,297.6,301,297.8
763.9,2438,3.8,-16.4,21,1.39,205,2,299.1,303.6,299.4
763,2448,3.8,-16.2,22,1.42,205,2,299.2,303.8,299.5
738,2718,2.2,-13.8,30,1.79,214,5,300.3,306.1,300.6
735.7,2743,2,-13.3,31,1.88,215,5,300.4,306.4,300.7
715,2972,0.4,-8.6,51,2.81,181,4,301.1,309.9,301.6
700,3142,-0.7,-9.7,51,2.63,155,4,301.7,310,302.2
665,3550,-2.9,-10.9,54,2.52,44,2,303.7,311.7,304.1
660,3610,-2.9,-10.9,54,2.53,28,2,304.3,312.4,304.8
656,3658,-2.8,-11.6,51,2.42,15,2,304.9,312.7,305.4
649,3743,-2.7,-12.7,46,2.23,12,3,306,313.3,306.4
607.1,4267,-5.8,-15.8,45,1.84,355,10,308.3,314.4,308.6
586,4546,-7.5,-17.5,45,1.66,357,11,309.5,315,309.8
567,4802,-8.1,-24.1,26,0.97,359,13,311.7,315.1,311.9
561.5,4877,-8.4,-25.8,23,0.83,0,13,312.2,315.1,312.3
