PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
977,317,7.4,3.8,78,5.17,70,7,282.4,297,283.3
963,436,7.4,1.4,66,4.42,74,15,283.6,296.2,284.4
943,611,9.4,-1.6,46,3.62,80,26,287.3,297.9,288
925,771,8.8,-2.2,46,3.53,65,16,288.3,298.7,288.9
923,789,9,-2,46,3.59,64,16,288.7,299.3,289.3
909.2,914,11.6,1.6,50,4.73,55,12,292.6,306.6,293.4
909,916,11.6,1.6,50,4.75,55,12,292.6,306.7,293.5
891,1083,12.4,5.4,62,6.35,38,7,295.1,313.8,296.2
876.7,1219,12.3,5.3,62,6.42,25,3,296.4,315.4,297.6
856,1419,12.2,5.2,62,6.52,319,8,298.3,317.8,299.5
850,1478,12,5,62,6.47,300,9,298.7,318.1,299.9
845.3,1524,11.7,5.3,65,6.63,290,15,298.9,318.7,300.1
823,1748,10.2,6.6,78,7.48,294,22,299.6,321.9,300.9
815,1829,10.1,6.6,79,7.57,295,24,300.3,323,301.7
801,1974,10,6.7,80,7.74,300,24,301.7,324.9,303.1
785.7,2134,8.7,6,83,7.52,305,25,302,324.6,303.4
768,2323,7.2,5.2,87,7.27,311,24,302.3,324.3,303.6
757.3,2438,6.4,4,85,6.8,315,23,302.6,323.2,303.9
745,2573,5.4,2.7,83,6.28,308,23,303,322.1,304.1
737,2661,5.2,-0.8,65,4.92,304,23,303.7,318.9,304.6
731,2728,6,-8,36,2.88,301,23,305.3,314.5,305.8
729.7,2743,6,-8.2,35,2.83,300,23,305.5,314.5,306
709,2978,6.2,-11.8,26,2.2,297,28,308.2,315.4,308.6
700,3083,5.4,-9.6,33,2.65,295,30,308.4,317.1,308.9
654,3635,1.2,-9.8,44,2.79,285,39,309.7,318.8,310.3
652.1,3658,1.1,-10,43,2.76,285,39,309.8,318.8,310.4
620,4062,-1.5,-13.5,40,2.19,282,39,311.4,318.7,311.8
604.1,4267,-3.4,-13.5,45,2.25,280,39,311.6,319.1,312
558.9,4877,-8.9,-13.5,69,2.43,290,40,312.1,320.1,312.5
554,4946,-9.5,-13.5,73,2.45,290,41,312.1,320.2,312.6
530,5287,-12.1,-15.7,75,2.14,292,43,313,320.1,313.4
514,5521,-14.5,-16,88,2.15,294,45,312.8,320,313.2
500,5730,-16.3,-18.5,83,1.79,295,47,313.1,319.1,313.4
495,5806,-16.9,-19.6,80,1.64,295,47,313.3,318.9,313.6
478,6067,-18.9,-21.2,82,1.48,295,47,313.9,319,314.2
476.1,6096,-19.1,-21.6,81,1.44,295,47,314,319,314.3
469,6208,-19.9,-22.9,77,1.3,295,48,314.4,318.9,314.7
459,6368,-20.7,-27.7,53,0.86,296,49,315.4,318.4,315.5
442,6645,-23.1,-29.1,58,0.78,297,50,315.7,318.6,315.9
427,6897,-24.5,-34.5,39,0.48,298,52,317.1,318.9,317.2
417,7069,-25.9,-33.9,47,0.52,299,53,317.4,319.4,317.6
407,7245,-26.3,-43.3,19,0.2,300,54,319.1,319.9,319.2
404,7298,-26.7,-48.7,11,0.11,300,55,319.3,319.8,319.3
400,7370,-27.5,-50.5,9,0.09,300,55,319.2,319.6,319.2
390,7551,-29.1,-52.1,9,0.08,296,56,319.4,319.7,319.4
386.2,7620,-29.6,-45.8,19,0.16,295,57,319.7,320.3,319.7
385,7643,-29.7,-43.7,24,0.21,295,57,319.8,320.6,319.8
379,7754,-30.7,-43.7,27,0.21,295,57,319.9,320.7,319.9
368,7962,-32.7,-38.7,55,0.37,294,57,319.9,321.3,320
359,8136,-33.9,-47.9,23,0.14,293,57,320.6,321.2,320.6
356,8194,-34.3,-46.3,29,0.17,293,57,320.8,321.5,320.9
353,8253,-34.3,-43.3,40,0.24,293,57,321.6,322.5,321.7
348,8353,-34.5,-41.5,49,0.29,293,57,322.7,323.8,322.7
317,8996,-39.7,-45.7,53,0.2,291,57,324.1,325,324.2
310.2,9144,-40.7,-48.4,43,0.15,290,57,324.8,325.4,324.8
309,9170,-40.9,-48.9,42,0.15,291,57,324.9,325.4,324.9
300,9370,-42.3,-48.3,52,0.16,295,60,325.6,326.3,325.7
298,9415,-42.5,-48.5,52,0.16,295,60,326,326.6,326
287,9668,-44.1,-52.1,41,0.11,295,61,327.2,327.7,327.2
274,9978,-46.7,-52.7,50,0.11,295,63,327.8,328.2,327.8
266,10174,-47.7,-55.7,39,0.08,295,64,329.1,329.5,329.1
251,10554,-51.1,-57.1,49,0.07,295,66,329.6,329.9,329.6
250,10580,-51.3,-57.3,49,0.07,295,66,329.7,329.9,329.7
241,10817,-53.1,-60.1,42,0.05,295,68,330.4,330.6,330.4
224.1,11278,-57.1,-64.1,41,0.03,295,73,331.2,331.4,331.2
220,11395,-58.1,-65.1,40,0.03,295,73,331.4,331.5,331.4
213,11600,-59.9,-66.9,40,0.02,297,71,331.7,331.8,331.7
202,11929,-62.9,-71.9,29,0.01,299,69,332.1,332.1,332.1
200,11990,-63.3,-73.3,25,0.01,300,68,332.4,332.4,332.4
189,12336,-65.7,-76.7,20,0.01,302,70,333.9,333.9,333.9
175,12802,-68.5,-77.5,26,0.01,305,72,336.7,336.8,336.7
169,13011,-67.9,-77.9,23,0.01,300,66,341.1,341.1,341.1
163,13228,-68.9,-78.9,22,0,295,59,343,343,343
158.1,13411,-68.5,-78.5,23,0.01,290,54,346.6,346.6,346.6
158,13415,-68.5,-78.5,23,0.01,290,54,346.7,346.7,346.7
150.3,13716,-65.1,-78.9,13,0.01,300,66,357.6,357.6,357.6
150,13730,-64.9,-78.9,13,0.01,300,64,358.1,358.1,358.1
147,13854,-63.3,-80.3,8,0,302,58,362.9,362.9,362.9
144,13980,-63.5,-83.5,5,0,304,51,364.7,364.7,364.7
143.1,14021,-63,-84.5,4,0,305,49,366.2,366.3,366.2
142,14066,-62.5,-85.5,3,0,305,49,367.9,367.9,367.9
137,14287,-63.1,-93.1,1,0,306,46,370.7,370.7,370.7
133,14469,-62.1,-92.1,1,0,307,44,375.6,375.6,375.6
130,14610,-62.3,-92.3,1,0,307,43,377.7,377.7,377.7
127,14754,-61.9,-91.9,1,0,308,41,380.9,380.9,380.9
125,14853,-59.5,-90.5,1,0,308,40,387,387,387
117.5,15240,-60.3,-91,1,0,310,36,392.4,392.4,392.4
106,15878,-61.7,-91.7,1,0,310,32,401.5,401.5,401.5
104,15996,-60.3,-91.3,1,0,310,31,406.4,406.4,406.4
100,16240,-61.5,-92.5,1,0,310,29,408.6,408.6,408.6
