#Component=Raven
#Style=4-Output
#DateTime=11/29/2014 4:26:46 PM
#FlightNum=4
#FlightState=#4	O	91	1020	5	2	0	0	32459	31435	32492	32331	16996	16492	16466	16478	24696	24148	20032	16492	16976	16450	16450	16450	16450	-1	-8481	1015	0	8558	501
#ConvertedFromBinary
#R 2.4
#D Nov 20 2011 11:20:11
#Axis	2
#Num	25
#den	20
#Frame	1
X	8
Y	-8
X	8
C	0
X	8
Y	-8
X	8
a	9205
X	8
Y	0
X	8
m	9205
X	8
Y	-8
X	8
3	9205
X	8
Y	-8
X	8
4	9205
X	8
Y	0
X	8
F	0
X	8
Y	-8
X	8
b	9266
X	8
Y	-8
X	8
T	6087
X	8
Y	-8
X	8
P	24091
X	8
Y	-8
X	8
V	0
p	5710
t	0
v	-16
t	0
#Frame	2
X	8
Y	-8
X	8
C	0
X	0
Y	-8
X	8
a	9205
X	8
Y	-8
X	8
m	9205
X	0
Y	-8
X	8
3	9205
X	8
Y	-8
X	8
4	9205
X	0
Y	-8
X	8
F	0
X	8
Y	-8
X	8
b	9266
X	8
Y	0
X	0
T	6087
X	-8
Y	8
X	0
P	24091
X	-8
Y	8
X	0
V	0
p	5710
t	0
v	-16
t	0
#Frame	3
X	0
Y	8
X	-8
C	0
X	-16
Y	0
X	-16
a	8783
X	-8
Y	8
X	-25
m	8884
X	8
Y	17
X	0
3	8904
X	8
Y	25
X	-8
4	9125
X	-8
Y	17
X	-16
F	0
X	0
Y	17
X	-8
b	9125
X	0
Y	17
X	8
T	6087
X	8
Y	-8
X	8
P	24089
X	8
Y	-8
X	8
V	0
p	5710
t	0
v	-13
t	0
#Frame	4
X	8
Y	0
X	16
C	0
X	25
Y	-8
X	42
a	9205
X	-203
Y	-25
X	-42
m	9205
X	84
Y	-8
X	203
3	9165
X	305
Y	-8
X	407
4	9205
X	602
Y	-68
X	831
F	0
X	1221
Y	8
X	1458
b	9246
X	1874
Y	8
X	2094
T	6087
X	2205
Y	-51
X	2323
P	24089
X	2391
Y	-42
X	2459
V	0
p	5710
t	0
v	-13
t	0
#Frame	5
X	2501
Y	-8
X	2518
C	0
X	2561
Y	94
X	2620
a	9185
X	2569
Y	51
X	2620
m	9185
X	2663
Y	25
X	2654
3	9185
X	2663
Y	59
X	2663
4	9205
X	2629
Y	68
X	2620
F	0
X	2595
Y	94
X	2561
b	9246
X	2561
Y	-8
X	2569
T	6087
X	2552
Y	68
X	2569
P	24101
X	2544
Y	111
X	2518
V	268
p	0
t	0
v	-10
t	0
O	91	1020	5	2	0	0	32459	31435	32492	32331	16996	16492	16466	16478	24696	24148	20032	16492	16976	16450	16450	16450	16450	-1	-8481	1015	0	8558	501
#Frame	7
X	2510
Y	111
X	2510
C	0
X	2518
Y	42
X	2510
a	9145
X	2467
Y	-162
X	2434
m	9145
X	2425
Y	42
X	2451
3	9125
X	2484
Y	59
X	2442
4	9165
X	2467
Y	59
X	2451
F	-2852
X	2476
Y	162
X	2459
b	9205
X	2451
Y	-68
X	2459
T	6087
X	2484
Y	-34
X	2434
P	24101
X	2408
Y	273
X	2417
V	837
p	0
t	0
v	-11
t	0
#Frame	8
X	2425
Y	-42
X	2434
C	0
X	2476
Y	68
X	2391
a	9145
X	2501
Y	-77
X	2484
m	9125
X	2408
Y	-94
X	2400
3	9125
X	2417
Y	350
X	2434
4	9165
X	2467
Y	59
X	2484
F	-11044
X	2459
Y	77
X	2476
b	9205
X	2484
Y	42
X	2484
T	6089
X	2484
Y	59
X	2484
P	24108
X	2493
Y	94
X	2484
V	1150
p	0
t	0
v	-26
t	0
#Frame	9
X	2493
Y	34
X	2501
C	0
X	2501
Y	-8
X	2501
a	9145
X	2484
Y	8
X	2501
m	9145
X	2518
Y	59
X	2501
3	9125
X	2518
Y	59
X	2510
4	9165
X	2518
Y	17
X	2518
F	-11020
X	2518
Y	0
X	2518
b	9205
X	2544
Y	59
X	2535
T	6087
X	2535
Y	42
X	2527
P	24090
X	2552
Y	25
X	2552
V	1509
p	0
t	0
v	-27
t	0
#Frame	10
X	2552
Y	17
X	2552
C	0
X	2544
Y	42
X	2561
a	9145
X	2561
Y	51
X	2578
m	9145
X	2595
Y	34
X	2586
3	9125
X	2561
Y	25
X	2569
4	9165
X	2603
Y	42
X	2595
F	-11020
X	2603
Y	51
X	2620
b	9205
X	2612
Y	25
X	2620
T	6087
X	2612
Y	25
X	2612
P	24078
X	2637
Y	42
X	2629
V	1875
p	0
t	0
v	-28
t	0
#Frame	11
X	2629
Y	42
X	2620
C	0
X	2620
Y	25
X	2654
a	9145
X	2663
Y	25
X	2646
m	9145
X	2671
Y	25
X	2663
3	9125
X	2671
Y	34
X	2671
4	9165
X	2679
Y	8
X	2679
F	-11044
X	2688
Y	25
X	2696
b	9205
X	2696
Y	25
X	2696
T	6089
X	2696
Y	25
X	2722
P	24073
X	2730
Y	34
X	2722
V	2295
p	0
t	0
v	-30
t	0
#Frame	12
X	2722
Y	34
X	2722
C	0
X	2722
Y	42
X	2730
a	9145
X	2730
Y	25
X	2739
m	9145
X	2747
Y	25
X	2747
3	9125
X	2756
Y	25
X	2756
4	9165
X	2756
Y	42
X	2764
F	-11044
X	2764
Y	25
X	2773
b	9205
X	2773
Y	8
X	2781
T	6089
X	2790
Y	42
X	2790
P	24062
X	2798
Y	17
X	2798
V	2728
p	0
t	0
v	-31
t	0
#Frame	13
X	2807
Y	34
X	2807
C	0
X	2824
Y	8
X	2815
a	9145
X	2824
Y	34
X	2815
m	9145
X	2824
Y	25
X	2815
3	9125
X	2824
Y	8
X	2824
4	9165
X	2824
Y	25
X	2832
F	-11044
X	2832
Y	25
X	2841
b	9205
X	2832
Y	34
X	2875
T	6090
X	2883
Y	8
X	2892
P	24057
X	2866
Y	17
X	2883
V	3220
p	0
t	0
v	-33
t	0
#Frame	14
X	2892
Y	25
X	2892
C	0
X	2892
Y	8
X	2908
a	9145
X	2925
Y	17
X	2942
m	9145
X	2925
Y	17
X	2942
3	9125
X	2934
Y	8
X	2934
4	9165
X	2942
Y	-8
X	2959
F	-11044
X	2968
Y	-8
X	2959
b	9205
X	2968
Y	17
X	2976
T	6090
X	2968
Y	0
X	2985
P	24045
X	2976
Y	-17
X	2968
V	3634
p	0
t	0
v	-35
t	0
#Frame	15
X	2993
Y	8
X	2993
C	0
X	2976
Y	0
X	2985
a	9145
X	3002
Y	0
X	3002
m	9145
X	3010
Y	-8
X	3010
3	9125
X	3027
Y	25
X	3036
4	9165
X	3027
Y	0
X	3044
F	-11044
X	3044
Y	0
X	3036
b	9205
X	3044
Y	0
X	3061
T	6087
X	3070
Y	0
X	3070
P	24039
X	3070
Y	8
X	3087
V	4110
p	0
t	0
v	-36
t	0
#Frame	16
X	3078
Y	25
X	3087
C	0
X	3087
Y	0
X	3095
a	9145
X	3087
Y	25
X	3087
m	9145
X	3070
Y	25
X	3078
3	9145
X	3104
Y	8
X	3087
4	9165
X	3095
Y	-25
X	3104
F	-11048
X	3095
Y	25
X	3104
b	9205
X	3095
Y	59
X	3095
T	6087
X	3104
Y	8
X	3095
P	24017
X	3104
Y	25
X	3129
V	4600
p	0
t	0
v	-38
t	0
#Frame	17
X	3104
Y	17
X	3087
C	0
X	3129
Y	-8
X	3121
a	9165
X	3121
Y	34
X	3129
m	9145
X	3154
Y	0
X	3163
3	9125
X	3129
Y	25
X	3146
4	9145
X	3129
Y	17
X	3137
F	-11048
X	3154
Y	17
X	3154
b	9205
X	3137
Y	17
X	3171
T	6087
X	3146
Y	25
X	3171
P	24007
X	3163
Y	42
X	3171
V	5149
p	0
t	0
v	-39
t	0
#Frame	18
X	3188
Y	34
X	3171
C	0
X	3180
Y	25
X	3188
a	9145
X	3197
Y	17
X	3188
m	9145
X	3197
Y	25
X	3197
3	9125
X	3205
Y	68
X	3197
4	9165
X	3222
Y	25
X	3231
F	-11048
X	3231
Y	25
X	3231
b	9205
X	3222
Y	51
X	3231
T	6087
X	3299
Y	59
X	3248
P	23977
X	3231
Y	51
X	3231
V	5605
p	0
t	0
v	-41
t	0
#Frame	19
X	3231
Y	94
X	3231
C	0
X	3239
Y	42
X	3231
a	9145
X	3256
Y	59
X	3282
m	9145
X	3273
Y	128
X	3290
3	9125
X	3273
Y	59
X	3290
4	9165
X	3299
Y	77
X	3290
F	-11048
X	3299
Y	42
X	3316
b	9205
X	3324
Y	42
X	3349
T	6089
X	3324
Y	77
X	3349
P	23962
X	3349
Y	59
X	3366
V	6124
p	0
t	0
v	-43
t	0
#Frame	20
X	3366
Y	77
X	3358
C	0
X	3366
Y	59
X	3366
a	9145
X	3366
Y	42
X	3434
m	9145
X	3366
Y	111
X	3375
3	9125
X	3366
Y	68
X	3383
4	9165
X	3375
Y	25
X	3434
F	-11048
X	3375
Y	59
X	3409
b	9205
X	3392
Y	42
X	3383
T	6089
X	3392
Y	68
X	3375
P	23926
X	3468
Y	25
X	3409
V	6658
p	0
t	0
v	-44
t	0
#Frame	21
X	3434
Y	94
X	3434
C	0
X	3443
Y	77
X	3426
a	9145
X	3426
Y	77
X	3434
m	9145
X	3426
Y	34
X	3417
3	9125
X	3443
Y	68
X	3426
4	9165
X	3570
Y	128
X	3477
F	-11048
X	3443
Y	42
X	3434
b	9205
X	3443
Y	59
X	3460
T	6087
X	3468
Y	59
X	3460
P	23909
X	3451
Y	25
X	3460
V	7259
p	0
t	0
v	-46
t	0
#Frame	22
X	3468
Y	59
X	3460
C	0
X	3468
Y	59
X	3477
a	9145
X	3477
Y	77
X	3485
m	9145
X	3485
Y	34
X	3477
3	9125
X	3502
Y	34
X	3477
4	9165
X	3502
Y	59
X	3494
F	-11048
X	3494
Y	59
X	3502
b	9205
X	3502
Y	42
X	3511
T	6087
X	3502
Y	42
X	3511
P	23866
X	3502
Y	42
X	3519
V	7760
p	0
t	0
v	-48
t	0
#Frame	23
X	3511
Y	34
X	3511
C	0
X	3519
Y	17
X	3519
a	9145
X	3502
Y	42
X	3545
m	9145
X	3443
Y	342
X	3536
3	9125
X	3502
Y	17
X	3536
4	9165
X	3519
Y	42
X	3528
F	-11048
X	3511
Y	34
X	3570
b	9205
X	3511
Y	128
X	3519
T	6087
X	3502
Y	77
X	3502
P	23845
X	3511
Y	0
X	3494
V	8322
p	0
t	0
v	-49
t	0
#Frame	24
X	3468
Y	77
X	3477
C	0
X	3502
Y	59
X	3502
a	9145
X	3494
Y	77
X	3494
m	9145
X	3502
Y	34
X	3502
3	9125
X	3468
Y	94
X	3494
4	9165
X	3545
Y	77
X	3511
F	-11048
X	3502
Y	-8
X	3511
b	9205
X	3528
Y	59
X	3485
T	6087
X	3511
Y	162
X	3511
P	23812
X	3519
Y	85
X	3502
V	8884
p	0
t	0
v	-51
t	0
#Frame	25
X	3502
Y	102
X	3511
C	0
X	3511
Y	42
X	3511
a	9145
X	3511
Y	59
X	3528
m	9145
X	3536
Y	34
X	3502
3	9125
X	3595
Y	17
X	3528
4	9165
X	3511
Y	8
X	3511
F	-11048
X	3519
Y	34
X	3519
b	9205
X	3536
Y	42
X	3536
T	6089
X	3519
Y	42
X	3528
P	23796
X	3536
Y	59
X	3536
V	9504
p	0
t	0
v	-52
t	0
#Frame	26
X	3545
Y	34
X	3536
C	0
X	3536
Y	42
X	3536
a	9145
X	3536
Y	34
X	3536
m	9145
X	3536
Y	42
X	3528
3	9125
X	3536
Y	34
X	3536
4	9165
X	3536
Y	59
X	3536
F	-11048
X	3536
Y	42
X	3519
b	9205
X	3528
Y	42
X	3562
T	6089
X	3646
Y	-111
X	3570
P	23756
X	3502
Y	102
X	3511
V	10014
p	0
t	0
v	-54
t	0
#Frame	27
X	3511
Y	0
X	3460
C	0
X	3528
Y	17
X	3502
a	9145
X	3477
Y	42
X	3460
m	9145
X	3451
Y	77
X	3451
3	9125
X	3451
Y	59
X	3443
4	9165
X	3426
Y	68
X	3434
F	-10536
X	3417
Y	94
X	3400
b	9205
X	3383
Y	94
X	3400
T	6089
X	3375
Y	68
X	3383
P	23737
X	3375
Y	111
X	3375
V	10579
p	0
t	0
v	-56
t	0
#Frame	28
X	3375
Y	111
X	3383
C	0
X	3366
Y	94
X	3375
a	9145
X	3375
Y	77
X	3366
m	9145
X	3366
Y	102
X	3366
3	9125
X	3366
Y	102
X	3366
4	9165
X	3366
Y	42
X	3366
F	-10536
X	3358
Y	94
X	3358
b	9205
X	3366
Y	85
X	3358
T	6089
X	3366
Y	77
X	3366
P	23693
X	3358
Y	51
X	3366
V	11125
p	0
t	0
v	-57
t	0
#Frame	29
X	3358
Y	59
X	3349
C	0
X	3349
Y	59
X	3349
a	9145
X	3349
Y	34
X	3349
m	9145
X	3349
Y	34
X	3341
3	9125
X	3341
Y	42
X	3333
4	9165
X	3349
Y	42
X	3333
F	-10536
X	3324
Y	42
X	3333
b	9225
X	3341
Y	42
X	3333
T	6087
X	3333
Y	59
X	3333
P	23670
X	3316
Y	42
X	3307
V	11718
p	0
t	0
v	-59
t	0
#Frame	30
X	3307
Y	8
X	3307
C	0
X	3316
Y	59
X	3290
a	9165
X	3290
Y	25
X	3290
m	9145
X	3282
Y	25
X	3273
3	9125
X	3265
Y	8
X	3239
4	9165
X	3265
Y	42
X	3239
F	-10536
X	3231
Y	8
X	3222
b	9225
X	3231
Y	25
X	3222
T	6087
X	3222
Y	0
X	3214
P	23740
X	3231
Y	34
X	3222
V	12197
p	0
t	0
v	-60
t	0
#Frame	31
X	3205
Y	17
X	3205
C	0
X	3214
Y	-8
X	3214
a	9145
X	3205
Y	8
X	3205
m	9145
X	3197
Y	34
X	3197
3	9125
X	3197
Y	8
X	3197
4	9165
X	3180
Y	-34
X	3180
F	-10664
X	3188
Y	25
X	3188
b	9205
X	3205
Y	-8
X	3188
T	6086
X	3256
Y	-77
X	3205
P	23774
X	3205
Y	-42
X	3180
V	12715
p	0
t	0
v	-62
t	0
#Frame	32
X	3180
Y	42
X	3180
C	0
X	3163
Y	8
X	3163
a	9165
X	3163
Y	-8
X	3154
m	9145
X	3163
Y	42
X	3146
3	9125
X	3146
Y	25
X	3146
4	9165
X	3146
Y	8
X	3146
F	-10664
X	3137
Y	42
X	3146
b	9205
X	3129
Y	102
X	3146
T	6086
X	3129
Y	59
X	3121
P	24044
X	3129
Y	34
X	3129
V	13227
p	0
t	0
v	-64
t	0
#Frame	33
X	3137
Y	25
X	3121
C	0
X	3112
Y	42
X	3121
a	9145
X	3112
Y	25
X	3121
m	9145
X	3104
Y	-8
X	3095
3	9125
X	3112
Y	42
X	3104
4	9145
X	3129
Y	25
X	3104
F	-10536
X	3129
Y	-34
X	3104
b	9246
X	3104
