Time (sec),Mach,CD,Thrust (lb),Weight (lb),Drag (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Altitude (ft),Distance (ft)
0.010,0.010,0.7507977,360.5215,17.1,0,646.154456511551,646.154456510466,0.00118390646053813,6.46154500001085,6.461545,0.00001183906,0.03230773,0.0000000591953
0.02,0.010,0.7507982,359.1183,17.08762,0.001038246,644.001771991165,644.001771990084,0.00118014931797113,12.9015600000217,12.90156,0.00002364055,0.1291233,0.0000002365934
0.03,0.01145696,0.718147,357.7151,17.07025,0.003959141,642.039823131947,642.039823130869,0.00117672507302525,19.3219600000324,19.32196,0.0000354078,0.2902408,0.0000005318351
0.04,0.01715847,0.736442,356.312,17.05294,0.009106309,640.067030300892,640.067030299817,0.0011732819005868,25.7226300000432,25.72263,0.00004714062,0.5154638,0.0000009445772
0.05,0.02284248,0.7318913,354.909,17.0357,0.01603896,638.084140823729,638.084140822657,0.00116982110494738,32.1034700000539,32.10347,0.00005883883,0.8045943,0.000001474474
0.05999999,0.02850888,0.7214643,353.506,17.01852,0.02462717,636.091469040133,636.091469039064,0.00116634323476367,38.4643900000646,38.46439,0.00007050226,1.157434,0.00000212118
0.06999999,0.03415762,0.7097472,352.103,17.00142,0.03477868,634.08912214452,634.089122143454,0.00116284848342143,44.8052800000753,44.80528,0.00008213075,1.573782,0.000002884345
0.07999999,0.03978859,0.6981847,350.7001,16.98438,0.04642116,632.077337351381,632.077337350318,0.00115933725230686,51.1260500000859,51.12605,0.00009372412,2.053439,0.00000376362
0.08999999,0.04540173,0.6872464,349.2972,16.96741,0.05949478,630.056118212448,630.056118211388,0.00115580956025543,57.4266100000965,57.42661,0.0001052822,2.596202,0.000004758651
0.09999999,0.05099694,0.6770593,347.8943,16.95051,0.07394845,628.025561026904,628.025561025847,0.00115226556903752,63.7068600001071,63.70686,0.0001168049,3.201869,0.000005869087
0.11,0.05657414,0.6676222,346.4915,16.93367,0.0897372,625.985859719574,625.98585971852,0.00114870562343721,69.9667200001176,69.96672,0.000128292,3.870237,0.000007094571
0.12,0.06213329,0.6588875,345.2417,16.91691,0.1068209,624.227863477629,624.227863476578,0.00114563733835198,76.2090000001281,76.209,0.0001397484,4.601116,0.000008434773
0.13,0.06767685,0.6507896,345.2422,16.90021,0.1251719,624.847235342102,624.847235340936,0.00120725565436216,82.4574722138849,82.4574722137451,0.000151820956273779,5.425691,0.000009892619
0.14,0.07322597,0.6432381,345.2427,16.88354,0.144836,625.45949426693,625.459494265754,0.00121310346289334,88.7120670167531,88.7120670166016,0.000163951990631563,6.312811,0.00001147148
0.15,0.07878057,0.63618,345.2433,16.86686,0.1657984,626.070672360841,626.070672359655,0.00121864095182535,94.9727736004237,94.9727736002604,0.000176138399877429,7.262539,0.00001317194
0.16,0.08434064,0.6295666,345.2439,16.85019,0.1880461,626.680769623836,626.680769622641,0.00122390704753228,101.239581156588,101.239581156413,0.000188377470079187,8.274935,0.00001499452
0.17,0.08990621,0.6233544,345.2446,16.83352,0.2115674,627.289722477626,627.289722476422,0.00122893424929221,107.512478241154,107.512478240967,0.000200666812297421,9.35006,0.00001693974
0.18,0.09547722,0.6175048,345.2453,16.81684,0.2363521,627.897276609052,627.89727660784,0.00123374984194679,113.791450866898,113.791450866699,0.000213004310441124,10.48797,0.00001900809
0.19,0.1010537,0.6119838,345.246,16.80017,0.2623904,628.504067801008,628.504067799788,0.00123837674476303,120.076491404427,120.076491404215,0.000225388077611956,11.68874,0.00002120006
0.2,0.1066356,0.6067612,345.2468,16.7835,0.2896738,629.10965100547,629.109651004242,0.00124283326890133,126.367587773864,126.36758777364,0.000237816410023174,12.95241,0.00002351608
0.21,0.112223,0.6018106,345.2476,16.76682,0.3181945,629.714089800725,629.71408979949,0.00124713687666035,132.664728531119,132.664728530883,0.000250287778511021,14.27906,0.0000259566
0.22,0.1178158,0.5971084,345.2485,16.75015,0.3479452,630.317320608487,630.317320607245,0.00125129993716832,138.967901596317,138.967901596069,0.000262800777603017,15.66874,0.00002852204
0.23,0.1234141,0.5824683,345.2494,16.73348,0.3724198,630.932122664879,630.93212266363,0.00125536077046952,145.277222681942,145.277222681681,0.000275354385027117,17.12151,0.00003121282
0.24,0.1290179,0.5875131,345.2503,16.71681,0.410514,631.521874875332,631.521874874077,0.00125925765218882,151.592441289539,151.592441289266,0.000287946961267539,18.63744,0.00003402932
0.25,0.134627,0.5919523,345.2513,16.70014,0.4503398,632.109719737112,632.10971973585,0.00126304503074358,157.913538345623,157.913538345337,0.000300577411292662,20.21657,0.00003697195
0.26,0.1402414,0.5958666,345.2523,16.68346,0.491891,632.695339358768,632.6953393575,0.00126673078842139,164.240491597793,164.240491597494,0.00031324471889374,21.85898,0.00004004106
0.27,0.1458612,0.5993241,345.2534,16.66679,0.5351621,633.279115210039,633.279115208765,0.00127032329257369,170.573282608344,170.573282608033,0.000325947951535538,23.56471,0.00004323702
0.28,0.1514862,0.6023821,345.2545,16.65012,0.5801473,633.860665821188,633.860665819908,0.00127382836396671,176.911889124877,176.911889124553,0.000338686234890482,25.33383,0.00004656019
0.29,0.1571164,0.6050892,345.2557,16.63344,0.626842,634.440181927084,634.440181925798,0.00127725109577088,183.25629080234,183.256290802003,0.000351458745562703,27.16639,0.00005001092
0.3,0.1627519,0.607487,345.2569,16.61677,0.6752414,635.017599949435,635.017599948144,0.00128059767255033,189.606466659897,189.606466659547,0.00036426472200197,29.06246,0.00005358953
0.31,0.1683927,0.6096112,345.2581,16.6001,0.7253414,635.592983466533,635.592983465236,0.00128387306620952,195.962396352496,195.962396352133,0.000377103452377097,31.02208,0.00005729638
0.32,0.1740387,0.6114922,345.2594,16.58343,0.7771381,636.166396056666,636.166396055364,0.00128708018713158,202.324060170868,202.324060170492,0.000389974253960728,33.04532,0.00006113177
0.33,0.1796899,0.613157,345.4189,16.56676,0.8306272,637.044793700004,637.044793698696,0.00129081651271594,208.694507965477,208.694507965088,0.000402882418799367,35.13227,0.00006509605
0.3399999,0.185349,0.6146291,346.1159,16.55008,0.885832,638.966828960257,638.966828958942,0.0012965151641127,215.084176112259,215.084176111857,0.0004158475701507,37.28311,0.0000691897
0.3499999,0.1910253,0.6159308,346.813,16.53338,0.9428473,640.890072208006,640.890072206683,0.00130216991723088,221.493076691089,221.493076690674,0.000428869269031951,39.49804,0.00007341328
0.3599999,0.1967187,0.6170785,347.51,16.51665,1.001679,642.81509564785,642.81509564652,0.0013077862290388,227.921227503887,227.921227503459,0.000441947131030026,41.77725,0.00007776736
0.3699999,0.2024295,0.6180874,348.2072,16.49989,1.062337,644.742153592949,644.742153591611,0.00131336603979188,234.368648895706,234.368648895264,0.000455080791134385,44.12094,0.0000822525
0.3799999,0.2081574,0.6189704,348.9044,16.48309,1.124827,646.670800995277,646.670800993932,0.00131891104721359,240.835356761116,240.835356760661,0.000468269901311721,46.52929,0.00008686926
0.3899999,0.2139027,0.6197394,349.6016,16.46626,1.189158,648.60141932457,648.601419323218,0.00132442258522952,247.321370809388,247.321370808919,0.000481514126867985,49.0025,0.00009161818
0.3999999,0.2196652,0.6204045,350.2989,16.44939,1.255339,650.533817845959,650.5338178446,0.00132990417055261,253.826708842441,253.826708841959,0.000494813168276254,51.54077,0.00009649982
0.4099999,0.2254451,0.6209754,350.9962,16.4325,1.323377,652.468060137736,652.468060136369,0.00133535713710844,260.351389297981,260.351389297485,0.000508166739348863,54.14428,0.0001015147
