PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
990,178,8.8,-1.2,49,3.55,105,11,282.8,293,283.4
963,406,8.2,-3.8,42,3.01,121,25,284.4,293.2,284.9
955,474,8.6,-5.4,37,2.69,126,30,285.5,293.4,285.9
951,509,9,-6,34,2.58,128,32,286.2,293.9,286.7
948,535,10.8,-6.2,30,2.55,130,33,288.3,296,288.8
943,579,12.6,-1.4,38,3.68,133,36,290.6,301.5,291.2
939.5,610,12.6,-0.8,40,3.86,135,38,290.9,302.3,291.5
927,722,12.4,1.4,47,4.59,161,31,291.8,305.4,292.6
925,740,12.6,2.6,51,5.01,165,30,292.2,306.9,293.1
906.2,914,15.5,5.5,51,6.29,200,24,296.9,315.6,298
898,991,16.8,6.8,52,6.95,213,25,299,319.8,300.2
874.3,1219,17.3,5.6,46,6.55,250,29,301.8,321.7,303
871,1251,17.4,5.4,45,6.5,251,30,302.2,322,303.4
850,1459,16,4,45,6.03,255,33,302.9,321.3,304
813.4,1829,13.6,2.4,47,5.61,275,39,304.1,321.4,305.2
784.4,2134,11.5,1,48,5.28,280,35,305.1,321.5,306.1
763,2367,10,0,50,5.04,299,33,305.9,321.6,306.8
756.5,2438,9.7,-0.8,48,4.79,305,32,306.3,321.3,307.2
729.1,2743,8.2,-4.3,41,3.84,305,28,307.9,320.1,308.6
722,2824,7.8,-5.2,39,3.61,301,29,308.4,319.9,309
706,3009,7.8,-5.2,39,3.7,293,30,310.3,322.2,311
700,3079,7.6,-5.4,39,3.67,290,31,310.9,322.7,311.6
670,3438,5.2,-7.8,39,3.19,281,39,312.1,322.5,312.7
651.9,3658,3.3,-8.6,41,3.08,275,44,312.4,322.5,313
627.6,3962,0.7,-9.7,46,2.94,265,50,312.8,322.5,313.4
604.2,4267,-1.9,-10.8,51,2.8,260,50,313.2,322.5,313.8
577,4636,-5.1,-12.1,58,2.63,263,47,313.6,322.4,314.2
559.5,4877,-7.1,-17.1,45,1.8,265,45,314.1,320.2,314.4
554,4954,-7.7,-18.7,41,1.59,265,45,314.2,319.7,314.6
500,5740,-15.3,-19.6,70,1.63,270,46,314.3,319.9,314.6
481,6031,-18.1,-20.7,80,1.54,274,48,314.4,319.6,314.7
476.8,6096,-18.5,-23.7,63,1.19,275,48,314.7,318.9,314.9
474,6140,-18.7,-25.7,54,1,275,48,314.9,318.5,315.1
468,6235,-19.3,-28.3,45,0.8,275,49,315.4,318.2,315.5
429,6874,-24.1,-37.1,29,0.37,275,53,317.2,318.6,317.2
400,7380,-28.1,-39.1,34,0.32,275,56,318.4,319.6,318.4
398,7416,-28.5,-39.5,34,0.31,274,56,318.3,319.5,318.4
386.8,7620,-30.2,-38.4,45,0.36,270,57,318.7,320.1,318.8
386,7635,-30.3,-38.3,46,0.36,270,57,318.8,320.1,318.8
378,7784,-31.3,-40.3,41,0.3,273,57,319.4,320.5,319.4
367,7993,-33.3,-40.3,49,0.31,276,56,319.4,320.6,319.4
350,8325,-35.9,-46.9,31,0.16,282,55,320.2,320.9,320.3
339.6,8534,-37.8,-45.4,45,0.2,285,55,320.4,321.2,320.4
335,8628,-38.7,-44.7,53,0.21,286,56,320.4,321.3,320.5
325,8836,-39.9,-47.9,42,0.15,287,58,321.6,322.2,321.6
313,9092,-41.1,-46.1,58,0.2,290,61,323.4,324.2,323.4
310.6,9144,-41.3,-46.9,55,0.18,290,62,323.8,324.5,323.8
309,9180,-41.5,-47.5,52,0.17,291,63,324,324.7,324
300,9380,-43.1,-49.1,52,0.15,295,67,324.5,325.1,324.5
250,10580,-53.1,-60.1,42,0.05,300,69,327,327.2,327
242,10788,-55.1,-62.1,41,0.04,299,71,327.1,327.2,327.1
228,11165,-57.9,-65.9,35,0.02,298,76,328.4,328.5,328.4
221,11361,-58.5,-66.5,35,0.02,297,78,330.4,330.5,330.4
200,11980,-63.3,-71.3,33,0.01,295,85,332.4,332.4,332.4
184,12489,-67.4,-74.5,36,0.01,300,86,333.7,333.7,333.7
183.8,12497,-67.5,-74.5,36,0.01,300,86,333.7,333.7,333.7
183,12522,-67.7,-74.7,36,0.01,301,85,333.8,333.8,333.8
179,12655,-68.1,-75.1,36,0.01,305,82,335.2,335.3,335.2
175,12791,-67.7,-75.7,31,0.01,303,74,338.1,338.1,338.1
173,12861,-66.9,-74.9,31,0.01,303,70,340.5,340.5,340.5
169,13002,-66.9,-74.9,31,0.01,301,61,342.8,342.8,342.8
168,13039,-63.3,-72.3,29,0.01,301,59,349.3,349.4,349.3
167,13076,-62.5,-71.5,29,0.01,300,57,351.3,351.3,351.3
166.2,13106,-62.4,-71.4,29,0.01,300,55,351.9,352,351.9
163,13226,-62.1,-71.1,29,0.02,301,55,354.4,354.5,354.4
157,13458,-63.3,-72.3,29,0.01,303,56,356.2,356.2,356.2
152,13658,-62.1,-71.1,29,0.02,304,56,361.5,361.6,361.5
150,13740,-60.9,-70.9,26,0.02,305,56,365,365.1,365
141,14124,-60.9,-70.9,26,0.02,303,50,371.5,371.6,371.5
138,14258,-59.9,-70.9,22,0.02,302,48,375.5,375.6,375.5
130,14630,-61,-72,22,0.02,300,43,380.1,380.2,380.1
122,15024,-62.1,-73.1,22,0.02,294,37,385,385.1,385
117.8,15240,-60.9,-72.8,20,0.02,290,34,391,391.1,391
117,15283,-60.7,-72.7,19,0.02,289,34,392.2,392.3,392.2
114,15444,-61.5,-73.5,19,0.02,287,35,393.6,393.7,393.6
112.2,15545,-60.9,-73.2,18,0.02,285,35,396.6,396.7,396.6
108,15781,-59.5,-72.5,17,0.02,308,29,403.5,403.6,403.5
106.8,15850,-59.8,-72.8,17,0.02,315,27,404.3,404.4,404.3
100,16260,-61.3,-74.3,16,0.02,295,24,409,409.1,409
97.3,16429,-62.7,-75.7,16,0.01,294,23,409.5,409.6,409.5
87.7,17069,-62.8,-76.4,14,0.01,290,21,421.6,421.7,421.6
83.5,17374,-62.9,-76.8,14,0.01,275,31,427.5,427.6,427.5
82,17484,-62.9,-76.9,14,0.01,282,32,429.6,429.7,429.6
80.3,17613,-61.5,-76.5,12,0.01,291,34,435.1,435.2,435.1
79.5,17678,-61.5,-76.5,12,0.01,295,35,436.3,436.4,436.3
76.8,17890,-61.7,-76.7,12,0.01,312,29,440.2,440.3,440.2
75.7,17983,-60.5,-76,11,0.02,320,27,444.6,444.7,444.6
74.1,18113,-58.9,-74.9,11,0.02,320,25,450.6,450.8,450.6
72.1,18288,-59.3,-75.3,11,0.02,320,23,453.4,453.5,453.4
71.2,18363,-59.5,-75.5,11,0.02,320,21,454.5,454.7,454.5
70,18470,-57.9,-74.9,10,0.02,320,18,460.2,460.3,460.2
68.8,18579,-56.9,-74.9,9,0.02,319,15,464.6,464.7,464.6
65.4,18898,-57.6,-75.6,8,0.02,315,7,469.8,470,469.8
64,19036,-57.9,-75.9,8,0.02,290,10,472.1,472.2,472.1
62.3,19202,-59.3,-77.3,8,0.02,260,13,472.7,472.8,472.7
61.1,19327,-60.3,-78.3,8,0.01,266,15,473.1,473.2,473.1
59.4,19507,-60.5,-78.9,7,0.01,275,18,476.5,476.6,476.5
56.5,19812,-60.9,-79.9,7,0.01,295,13,482.4,482.5,482.4
56.4,19825,-60.9,-79.9,6,0.01,296,13,482.6,482.7,482.6
54,20097,-59.1,-80.1,5,0.01,314,15,492.8,492.9,492.8
53.8,20117,-59.1,-80.2,5,0.01,315,15,493.2,493.2,493.2
51.9,20345,-59.7,-80.7,5,0.01,308,12,497,497.1,497
