PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
1000,19,,,,,95,7,,,
925,730,,,,,95,7,,,
873,1252,22.4,-5.6,15,2.9,95,7,307.2,316.6,307.8
869,1292,29,-5,11,3.05,102,8,314.5,324.6,315.1
867,1313,30.4,-5.6,9,2.92,105,8,316.2,325.9,316.7
850,1488,29.4,-6.6,9,2.76,135,11,316.9,326.2,317.5
817.8,1829,26.8,-6.8,10,2.83,170,3,317.7,327.2,318.2
811,1903,26.2,-6.8,11,2.84,169,7,317.8,327.4,318.4
789.9,2134,25.6,-7,11,2.88,165,20,319.5,329.3,320.1
766,2403,24.8,-7.2,11,2.92,161,18,321.5,331.5,322.1
762.9,2438,24.5,-7.2,12,2.92,160,18,321.6,331.6,322.1
736.5,2743,21.8,-7.5,13,2.96,160,16,321.9,332,322.5
700,3182,18,-8,16,3,195,10,322.4,332.6,323
685.9,3353,16.4,-8.4,17,2.97,215,12,322.5,332.6,323.1
661.5,3658,13.6,-9.1,20,2.91,215,12,322.6,332.6,323.2
632,4041,10,-10,23,2.84,218,9,322.8,332.6,323.4
614.7,4267,7.8,-10.1,27,2.89,220,7,322.9,332.8,323.4
570.4,4877,1.9,-10.5,39,3.03,210,11,322.9,333.2,323.4
560,5027,0.4,-10.6,43,3.06,208,13,322.8,333.3,323.4
554,5113,1.2,-18.8,21,1.57,206,14,324.8,330.4,325.1
549.3,5182,1.1,-24.2,13,0.99,205,15,325.5,329.1,325.7
540,5319,1,-35,5,0.36,185,14,326.9,328.4,327
528.7,5486,-0.3,-34.9,5,0.37,160,12,327.4,328.8,327.4
508.8,5791,-2.6,-34.8,6,0.39,165,13,328.1,329.7,328.2
500,5930,-3.7,-34.7,7,0.4,185,12,328.5,330,328.5
489.4,6096,-5.2,-34.9,8,0.41,195,12,328.6,330.2,328.7
452.3,6706,-10.9,-35.5,11,0.41,255,10,328.9,330.6,329
434.9,7010,-13.8,-35.9,14,0.41,275,13,329.1,330.7,329.1
434,7026,-13.9,-35.9,14,0.41,274,13,329.1,330.7,329.2
401.1,7620,-18.2,-40.2,13,0.29,245,18,331.1,332.2,331.1
400,7640,-18.3,-40.3,13,0.29,245,18,331.1,332.3,331.2
384.8,7925,-20.5,-42.8,12,0.23,255,21,331.9,332.8,331.9
349,8643,-26.1,-49.1,10,0.13,235,25,333.7,334.3,333.8
341,8810,-26.7,-53.7,6,0.08,231,26,335.1,335.5,335.2
339.6,8839,-27,-53.8,6,0.07,230,26,335.2,335.5,335.2
325.4,9144,-29.7,-54.5,7,0.07,230,27,335.5,335.8,335.5
300,9720,-34.9,-55.9,10,0.07,245,28,336.1,336.4,336.1
298.5,9754,-35.2,-55.9,10,0.07,245,28,336.1,336.4,336.1
260,10698,-44.1,-57.1,22,0.07,237,26,336.6,336.9,336.6
250,10960,-46.1,-58.1,24,0.06,235,25,337.4,337.7,337.4
249.5,10973,-46.2,-58.2,24,0.06,235,25,337.4,337.7,337.4
239,11258,-48.5,-59.5,27,0.05,243,29,338.1,338.4,338.2
238,11285,-48.9,-57.9,34,0.06,243,29,337.9,338.2,338
235,11369,-49.3,-55.3,49,0.09,246,30,338.6,339,338.6
232,11453,-50.1,-55.1,55,0.09,248,31,338.6,339,338.6
217,11887,-52.5,-55.9,66,0.09,260,37,341.4,341.8,341.4
211,12068,-53.7,-58.2,58,0.07,258,36,342.3,342.6,342.3
200,12410,-56.3,-60.7,58,0.05,255,35,343.4,343.7,343.5
178,13142,-62.1,-66.8,53,0.03,251,39,345.6,345.7,345.6
170.4,13411,-63.8,-68.4,53,0.02,250,41,347.1,347.2,347.1
170,13426,-63.9,-68.5,53,0.02,251,42,347.2,347.3,347.2
165,13611,-61.5,-68.5,39,0.02,257,48,354.2,354.3,354.2
162.2,13716,-61.5,-71.2,26,0.02,260,52,355.9,355.9,355.9
161,13764,-61.5,-72.5,22,0.01,261,51,356.6,356.7,356.6
150,14200,-64.9,-80.9,9,0,270,46,358.1,358.1,358.1
147,14323,-65.9,-81.9,9,0,270,43,358.4,358.4,358.4
146.9,14326,-65.9,-81.9,9,0,270,43,358.5,358.5,358.5
126.2,15240,-69.7,-84.7,10,0,240,22,367.6,367.6,367.6
125,15296,-69.9,-84.9,10,0,240,22,368.2,368.2,368.2
118,15637,-71.3,-86.3,9,0,240,23,371.7,371.7,371.7
114,15840,-71.1,-87.1,8,0,240,24,375.8,375.8,375.8
105,16324,-73.1,-88.1,9,0,240,26,380.9,380.9,380.9
103,16437,-72.1,-87.1,9,0,226,26,384.9,384.9,384.9
100,16610,-72.7,-87.7,9,0,205,26,387,387,387
,1000000,,,,,205,26,,,
