PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
881,1252,21.4,17,76,14.03,35,4,305.4,347.6,308
867,1391,22,16,69,13.37,62,7,307.4,348,309.9
850,1562,20.4,15.4,73,13.11,95,10,307.5,347.4,309.9
824.1,1829,18.2,14.7,80,12.95,110,14,307.9,347.4,310.3
819,1882,17.8,14.6,82,12.92,113,15,308,347.4,310.4
811,1967,17.8,13.9,78,12.46,117,17,308.9,347,311.2
805,2030,18.2,12.2,68,11.21,120,18,310,344.5,312.1
795.3,2134,17.4,11.7,69,10.99,125,20,310.2,344.1,312.2
767.4,2438,15,10.3,74,10.37,150,17,310.8,342.8,312.7
761,2510,14.4,10,75,10.23,146,18,310.9,342.6,312.8
740.3,2743,13.7,7.8,68,9.07,135,20,312.6,340.9,314.3
738,2769,13.6,7.6,67,8.95,135,20,312.8,340.8,314.4
713.9,3048,11.6,6.7,72,8.67,130,25,313.5,340.8,315.2
700,3213,10.4,6.1,75,8.51,130,24,314,340.8,315.6
688.3,3353,9.3,5.8,79,8.5,120,19,314.3,341.1,315.9
663.4,3658,7,5.3,89,8.48,130,18,315,341.8,316.6
651,3814,5.8,5,95,8.47,133,16,315.4,342.2,317
615.7,4267,3,2.5,96,7.47,140,12,317.2,341.1,318.6
585,4683,0.4,0.1,98,6.63,123,12,318.8,340.3,320.1
576,4808,0.2,-1.8,86,5.86,118,12,320,339.2,321.1
571,4877,-0.3,-2.2,87,5.75,115,12,320.2,339.1,321.4
549.7,5182,-2.4,-3.8,90,5.27,135,10,321.2,338.6,322.2
545,5250,-2.9,-4.2,91,5.17,133,10,321.4,338.5,322.4
529,5486,-4,-6.8,81,4.37,125,12,322.9,337.6,323.8
518,5652,-4.7,-8.6,74,3.88,141,13,323.9,337.1,324.7
508.9,5791,-5.8,-9.2,77,3.78,155,14,324.3,337.1,325
500,5930,-6.9,-9.7,80,3.68,150,15,324.6,337.1,325.3
489.4,6096,-7.7,-10.1,83,3.64,145,20,325.6,338,326.3
