PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
1000,88,,,,,0,0,,,
925,768,,,,,0,0,,,
850,1494,,,,,0,0,,,
784,2192,-0.7,-14.7,34,1.57,0,0,292.1,297,292.3
779,2243,8,-15,18,1.54,332,2,301.9,307,302.2
775,2285,15.2,-18.8,8,1.12,310,3,310.1,314,310.3
774,2296,16.2,-19.8,7,1.03,304,3,311.3,314.9,311.5
766,2383,16.4,-22.6,5,0.82,259,6,312.5,315.4,312.6
760.9,2438,15.9,-22.5,6,0.83,230,8,312.6,315.5,312.7
733.4,2743,13.4,-21.7,7,0.92,230,13,313.1,316.4,313.3
700,3128,10.2,-20.8,9,1.05,220,20,313.8,317.4,313.9
681.2,3353,8.3,-22.7,9,0.91,220,24,314,317.2,314.2
673,3453,7.4,-23.6,9,0.85,222,23,314.2,317.2,314.3
656.4,3658,7.6,-31.8,4,0.41,225,21,316.6,318.1,316.7
638,3892,7.8,-41.2,2,0.16,237,17,319.4,320.1,319.5
632.5,3962,7.4,-40.9,2,0.17,240,16,319.7,320.4,319.8
609.2,4267,5.5,-39.4,2,0.21,255,24,321,321.8,321
565.1,4877,1.7,-36.6,4,0.3,240,37,323.5,324.7,323.6
551,5082,0.4,-35.6,5,0.34,237,45,324.3,325.6,324.4
544.1,5182,-0.5,-35.1,5,0.36,235,49,324.4,325.8,324.5
500,5850,-6.5,-31.5,12,0.55,230,46,325.1,327.1,325.2
496,5913,-7.1,-33.1,11,0.48,230,46,325.1,326.9,325.2
490,6007,-7.3,-45.3,3,0.14,230,45,325.9,326.5,326
484.4,6096,-7.8,-43.7,4,0.16,230,45,326.4,327.1,326.5
471,6314,-8.9,-39.9,6,0.25,232,47,327.7,328.7,327.7
425,7098,-16.3,-32.3,24,0.6,240,55,328,330.3,328.1
413,7312,-18.1,-30.1,34,0.76,242,58,328.4,331.2,328.5
408,7403,-18.9,-26.9,49,1.04,243,58,328.5,332.3,328.7
400,7550,-20.3,-28.3,49,0.93,245,60,328.5,332,328.7
396.2,7620,-20.9,-28.6,50,0.92,240,59,328.6,332,328.8
359,8339,-27.5,-31.3,70,0.78,238,60,329.2,332.1,329.3
335,8832,-32.1,-36.2,67,0.52,236,61,329.5,331.5,329.6
329,8959,-33.1,-39.1,55,0.39,236,62,329.8,331.3,329.9
323,9088,-34.3,-39.3,60,0.39,235,62,329.9,331.4,330
320.4,9144,-34.8,-40.7,55,0.34,235,62,329.9,331.3,330
320,9153,-34.9,-40.9,54,0.34,235,62,329.9,331.3,330
312,9329,-36.1,-51.1,20,0.11,237,61,330.6,331.1,330.7
300,9600,-38.3,-53.3,19,0.09,240,60,331.3,331.6,331.3
293.3,9754,-39.3,-55.6,16,0.07,240,60,332,332.3,332.1
285,9951,-40.5,-58.5,13,0.05,240,64,333,333.2,333
268.1,10363,-43.8,-58.5,18,0.05,240,74,334,334.3,334
260,10570,-45.5,-58.5,22,0.05,240,70,334.5,334.8,334.5
250,10830,-47.5,-62.5,16,0.03,240,64,335.3,335.5,335.3
237,11181,-50.1,-67.1,12,0.02,245,61,336.6,336.6,336.6
225,11518,-52.9,-64.9,22,0.03,249,59,337.3,337.4,337.3
222.8,11582,-53.3,-64.9,23,0.03,250,58,337.7,337.8,337.7
203,12176,-56.9,-64.9,36,0.03,250,74,341.1,341.2,341.1
200,12270,-57.3,-64.3,41,0.03,250,76,341.9,342,341.9
186,12728,-58.1,-70.1,20,0.02,252,79,347.7,347.8,347.7
168,13365,-61.3,-74.3,16,0.01,255,84,352.7,352.7,352.7
166.8,13411,-61.1,-74.9,15,0.01,255,84,353.7,353.8,353.7
166,13439,-61,-75.2,14,0.01,255,84,354.4,354.4,354.4
160,13668,-60.1,-78.1,8,0.01,259,71,359.6,359.7,359.6
150,14070,-61.5,-80.5,6,0,265,47,363.9,363.9,363.9
143.9,14326,-62.7,-82.1,6,0,250,40,366.2,366.2,366.2
137,14630,-64.1,-84,5,0,235,44,368.9,368.9,368.9
136,14674,-64.3,-84.3,5,0,240,50,369.3,369.3,369.3
131,14904,-63.9,-84.9,4,0,249,58,374,374,374
130.3,14935,-63.7,-84.9,4,0,250,59,375,375,375
124,15242,-61.3,-85.3,3,0,270,31,384.6,384.6,384.6
124,15240,-61.3,-85.3,3,0,270,31,384.6,384.6,384.6
119,15497,-62.3,-87.3,2,0,262,21,387.4,387.4,387.4
118.1,15545,-62.6,-87.5,2,0,260,19,387.6,387.6,387.6
110,15980,-65.7,-89.7,2,0,247,21,389.8,389.8,389.8
106,16206,-64.5,-88.5,2,0,241,22,396.2,396.2,396.2
100,16560,-66.9,-90.9,2,0,230,24,398.2,398.2,398.2
,10000000,,,,,230,24,,,
