PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
991,178,9.4,3.4,66,4.95,60,12,283.3,297.3,284.1
984,237,9.2,2.2,62,4.58,64,15,283.6,296.7,284.4
967,381,8.8,1.8,61,4.53,74,22,284.7,297.6,285.4
959,450,11.6,2.6,54,4.84,79,25,288.2,302.2,289
951,521,13.2,4.2,54,5.46,84,29,290.5,306.4,291.4
940.9,610,12.6,3.6,54,5.29,90,33,290.8,306.2,291.7
925,753,11.6,2.6,54,5.01,85,30,291.2,305.9,292.1
914,853,13.8,4.8,55,5.93,91,23,294.4,311.9,295.5
907.5,914,14.2,5.2,55,6.13,95,19,295.4,313.6,296.5
907,918,14.2,5.2,55,6.15,95,19,295.5,313.7,296.6
893,1050,13.6,5.6,58,6.42,108,13,296.2,315.2,297.3
878,1193,14.6,8.6,67,8.05,122,7,298.6,322.5,300.1
875.3,1219,14.6,8.6,67,8.07,125,6,298.9,322.9,300.4
863,1339,14.6,8.6,67,8.19,113,5,300.1,324.5,301.6
850,1467,13.8,7.8,67,7.87,100,3,300.6,324.1,302
845,1517,13.6,7.6,67,7.81,123,3,300.9,324.3,302.3
837,1597,14.2,10.2,77,9.42,159,2,302.3,330.5,304.1
831,1658,13.8,9.2,74,8.86,187,2,302.5,329.1,304.1
814.2,1829,12.7,6.5,66,7.5,265,1,303.1,325.8,304.5
785.2,2134,10.6,1.6,54,5.51,335,5,304.1,321.1,305.1
785,2136,10.6,1.6,54,5.5,335,5,304.1,321,305.1
772,2275,9.6,3.6,66,6.46,316,6,304.4,324.2,305.6
758,2427,9,1,57,5.46,296,8,305.4,322.3,306.4
757,2438,8.9,1,58,5.47,295,8,305.4,322.4,306.4
739,2637,7.2,1.2,66,5.68,282,9,305.6,323.2,306.7
729.5,2743,6.5,0,63,5.29,275,10,306,322.4,307
718,2873,5.6,-1.4,61,4.83,271,8,306.4,321.5,307.3
702.8,3048,4.9,-4.6,50,3.89,265,6,307.6,319.9,308.3
700,3081,4.8,-5.2,48,3.73,260,6,307.8,319.6,308.5
691,3186,5,-8,38,3.04,266,9,309.1,319,309.7
677,3353,4.1,-9.7,36,2.72,275,13,309.9,318.8,310.4
673,3401,3.8,-10.2,35,2.63,274,15,310.1,318.7,310.6
660,3559,3.8,-15.2,24,1.79,272,20,311.9,317.9,312.2
651.9,3658,3.1,-15.7,24,1.74,270,23,312.1,318,312.5
627.6,3962,0.8,-17,25,1.61,260,29,312.9,318.4,313.3
604.1,4267,-1.5,-18.4,26,1.49,260,27,313.8,318.9,314
580,4593,-3.9,-19.9,28,1.37,265,25,314.6,319.3,314.9
559.3,4877,-6.5,-20.5,32,1.34,270,24,314.8,319.4,315
540,5151,-9.1,-21.1,37,1.32,274,23,314.9,319.5,315.1
516.9,5486,-12.1,-23.5,38,1.12,280,22,315.3,319.2,315.5
500,5740,-14.3,-25.3,39,0.98,275,23,315.5,319,315.7
476.8,6096,-17,-29.4,33,0.7,275,31,316.6,319.1,316.7
457.8,6401,-19.2,-33,29,0.52,270,32,317.4,319.4,317.5
454,6463,-19.7,-33.7,28,0.49,271,32,317.6,319.4,317.7
431,6847,-21.9,-43.9,12,0.18,277,35,319.6,320.3,319.6
400,7390,-26.7,-39.7,28,0.3,285,38,320.2,321.4,320.3
387.4,7620,-28.7,-40.4,32,0.29,285,41,320.6,321.7,320.6
381,7740,-29.7,-40.7,34,0.29,285,42,320.7,321.9,320.8
337,8604,-36.9,-45.9,39,0.19,288,46,322.4,323.1,322.4
311.4,9144,-40.8,-49.8,37,0.13,290,49,324.2,324.7,324.2
300,9400,-42.7,-51.7,37,0.11,285,46,325.1,325.5,325.1
250,10610,-51.7,-59.7,38,0.05,285,49,329.1,329.3,329.1
234,11035,-54.9,-62.9,36,0.03,285,43,330.5,330.7,330.5
214.5,11582,-58.7,,,,285,36,333,,333
200,12020,-61.7,,,,275,39,334.9,,334.9
188,12400,-64.7,,,,273,43,336,,336
167.2,13106,-68.8,,,,270,50,340.6,,340.6
165,13187,-69.3,,,,275,49,341.1,,341.1
159,13409,-66.9,,,,281,52,348.8,,348.8
153,13641,-68.5,,,,288,56,349.9,,349.9
151.1,13716,-66.5,,,,290,57,354.6,,354.6
150,13760,-65.3,,,,285,55,357.4,,357.4
148,13842,-63.5,,,,286,53,361.9,,361.9
145,13968,-62.7,,,,289,49,365.4,,365.4
136.8,14326,-63,,,,295,38,370.9,,370.9
131,14592,-63.3,,,,291,38,375.1,,375.1
129,14687,-62.7,,,,289,38,377.8,,377.8
126,14832,-63.5,,,,287,37,378.9,,378.9
122,15031,-61.5,,,,283,37,386.1,,386.1
120,15133,-61.3,,,,282,37,388.3,,388.3
118,15240,-61.7,,,,280,37,389.4,,389.4
116,15343,-62.1,,,,283,37,390.6,,390.6
108,15785,-61.5,,,,293,38,399.7,,399.7
104,16018,-62.7,,,,299,38,401.8,,401.8
100,16260,-62.3,,,,305,38,407.1,,407.1
